Sport,Country,League,Participants,SportId,CountryId,LeagueId,Bet,HomeTeamId,AwayTeamId,HomeOdd,DrawOdd,AwayOdd,IsPlayoffs,IsCup,IsWomen
soccer,israel,toto-cup,Yehuda - H. Raanana,9,219,2340,1,51905,51910,1.9,3.4,4.3,0,1,0
soccer,switzerland,super-league,Sion - Lausanne,9,284,2650,1,62882,62887,1.76,3.66,4.36,0,0,0
soccer,austria,regionalliga-central,Sturm Graz (Am) - Vorwarts Steyr,9,165,2008,1,41556,41564,1.73,3.78,3.7,0,0,0
soccer,germany,regionalliga-bayern,Memmingen - Unterfohring,9,204,2246,1,48998,0,1.75,3.64,4.07,0,0,0
soccer,lithuania,a-lyga,Trakai - Stumbras,9,234,2409,1,55098,55100,1.29,4.7,8.26,0,0,0
soccer,norway,toppserien-women,Valerenga W - Stabaek W,9,254,2483,2,57173,57171,3.38,3.75,1.84,0,0,1
soccer,slovakia,slovak-cup,Myjava - Slovan Bratislava,9,275,2583,2,60115,60104,21.98,15.88,1.02,0,1,0
soccer,sweden,svenska-cupen-women,Jitex W - Goteborg W,9,283,2648,2,62849,62838,12.94,9.94,1.07,0,1,1
soccer,europe,uefa-youth-league,UC Dublin U19 - Molde U19,9,196,2168,2,0,46498,3.8,4.34,1.61,0,0,0
soccer,norway,division-2-group-2,V. Haugesund - Bryne,9,254,2476,2,56813,56815,3.12,3.94,1.87,0,0,0
soccer,sweden,svenska-cupen-women,Alvsjo W - Bollstanas W,9,283,2648,0,0,62840,NaN,NaN,NaN,0,1,1
soccer,switzerland,1-liga-promotion,Zurich II - YF Juventus,9,284,2652,1,62946,62941,1.4,4.61,5.65,0,0,0
soccer,peru,primera-division,Union Comercio - Comerciantes Unidos,9,260,2492,1,57361,57368,1.92,3.39,3.55,0,0,0
soccer,argentina,primera-b-metropolitana,Almirante Brown - Comunicaciones,9,160,1952,2,39818,39819,3.32,3.01,2.1,0,0,0
soccer,argentina,torneo-federal-a,Juventud Unida Universitario - Union Aconquija,9,160,1955,1,39937,39903,2.25,2.86,3.09,0,0,0
soccer,gibraltar,premier-division,Lions Gibraltar - Europa FC,9,206,2281,0,50232,50227,NaN,NaN,NaN,0,0,0
soccer,switzerland,nationalliga-a-women,FF Lugano 1976 W - Zurich W,9,284,0,0,0,0,NaN,NaN,NaN,0,0,0
soccer,wales,cymru-alliance,Caernarfon - Ruthin,9,301,2721,0,0,0,NaN,NaN,NaN,0,0,0
soccer,england,bostik-league,Leatherhead - Margate,9,193,2155,1,45841,45855,2.31,3.57,2.51,0,0,0
soccer,england,championship,Birmingham - Sheffield Wed,9,193,2147,2,45355,45348,2.85,3.18,2.59,0,0,0
soccer,england,southern-premier-league,Farnborough - Dorchester,9,193,2153,1,45769,45738,1.6,3.86,4.42,0,0,0
soccer,europe,champions-league,Anderlecht - Celtic,9,196,2165,1,46182,46159,2.14,3.59,3.46,0,0,0
soccer,europe,champions-league,CSKA Moscow - Manchester United,9,196,2165,2,46154,46176,5.75,3.8,1.68,0,0,0
soccer,europe,champions-league,Atl. Madrid - Chelsea,9,196,2165,1,46133,46164,2.14,3.25,3.83,0,0,0
soccer,europe,champions-league,Sporting - Barcelona,9,196,2165,2,46151,46135,7.84,5.29,1.39,0,0,0
soccer,usa,usl-2017,Bethlehem - Tampa Bay,9,293,0,1,0,0,2.4,3.6,2.4,0,0,0
soccer,brazil,brasileiro-u20,Coritiba U20 - Sao Paulo U20,9,175,2070,2,43158,43154,2.7,3.4,2.25,0,0,0
soccer,venezuela,copa-venezuela,Zulia - Urena,9,299,2716,1,64922,64917,1.86,3.44,3.71,0,1,0
soccer,chile,chilean-cup,S. Wanderers - Iberia,9,181,2085,1,43515,43514,1.62,3.71,5.04,0,1,0
soccer,colombia,copa-aguila,Patriotas - Junior,9,183,2095,1,43802,43805,2.49,2.93,2.85,0,1,0
soccer,costa-rica,primera-division,Carmelita - Grecia,9,184,2097,2,43851,0,2.64,3.23,2.42,0,0,0
soccer,panama,lpf-2017-2018,Atl. Veraguense - Plaza Amador,9,258,0,2,0,0,2.75,3,2.37,0,0,0
soccer,venezuela,copa-venezuela,Aragua - Estudiantes Caracas,9,299,2716,1,64919,64913,1.46,4.05,5.97,0,1,0
soccer,honduras,liga-nacional,Marathon - Real Sociedad,9,210,2302,1,50724,50725,1.76,3.29,4.2,0,0,0
soccer,paraguay,primera-division,Dep. Capiata - Cerro Porteno,9,259,2491,2,57343,57338,2.8,3.36,2.26,0,0,0
soccer,brazil,serie-b,Internacional - America MG,9,175,2043,1,88283,42531,1.47,3.71,7.59,0,0,0
soccer,usa,usl-2017,Harrisburg City Islanders - Ottawa Fury,9,293,0,1,0,0,2.4,3.4,2.51,0,0,0
