Sport,Country,League,Season,Participants,WinningOdd,Bet
soccer,norway,toppserien-women,2018,Medkila W - LSK Kvinner W,1.1,2
soccer,russia,division-2-center,2018,Lipetsk - Ararat Moscow,1.46,2
soccer,sweden,division-1-sodra,2018,Qviding - Utsiktens,1.43,2
soccer,sweden,division-2-norra-gotaland,2018,Vanersborgs FK - Skoftebyns,1.27,1
soccer,belarus,pershaya-liga,2018,Lokomotiv Gomel - Osipovici,1.5,1
soccer,germany,oberliga-rheinland-pfalz-saar,2018,Jagersburg - FC 08 Homburg,1.27,2
soccer,iceland,inkasso-deildin,2018,Throttur - Leiknir F.,1.22,1
soccer,netherlands,tweede-divisie-2017-2018,2018,Kozakken Boys - AFC,1.48,1
soccer,czech-republic,msfl,2018,Hulin - Otrokovice,1.31,1
soccer,england,vanarama-national-league,2018,Aldershot - Solihull,1.4,1
soccer,england,vanarama-national-league-north,2018,Spennymoor - Gainsborough,1.49,1
soccer,england,vanarama-national-league-south,2018,Chelmsford - Bognor,1.43,1
soccer,germany,oberliga-bayern-nord,2018,Erlangen - Amberg,1.34,1
soccer,norway,division-2-group-2,2018,Fana - Nest-Sotra,1.29,2
soccer,russia,division-2-south,2018,Kuban 2 - Afips,1.26,2
soccer,scotland,challenge-cup,2018,Aberdeen U20 - Inverness,1.42,2
soccer,scotland,challenge-cup,2018,Berwick - Queen of South,1.37,2
soccer,scotland,challenge-cup,2018,Buckie Thistle - Dunfermline,1.29,2
soccer,scotland,challenge-cup,2018,Dundee Utd - Alloa,1.38,1
soccer,slovakia,slovak-cup,2018,L. Hradok - Trencin,1.08,2
soccer,sweden,division-2-norra-gotaland,2018,Grebbestads - FBK Karlstad,1.21,1
soccer,sweden,division-2-norra-gotaland,2018,Karlstad - Stenungsunds,1.21,1
soccer,sweden,division-2-norra-svealand,2018,Habo - Forward,1.31,2
soccer,sweden,division-2-norrland,2018,Ostersund IFK - Anundsjo,1.34,1
soccer,sweden,division-2-sodra-svealand,2018,Kumla - Linkoping City,1.18,2
soccer,world,club-friendly,2018,Atalanta (Ita) - Alessandria (Ita) ,1.29,1
soccer,slovenia,2-snl,2018,Ilirija - Fuzinar,1.18,1
soccer,iran,division-1,2018,Naft Ahvaz - Fajr Sepasi,1.5,1
soccer,austria,regionalliga-west,2018,Altach (Am) - Saalfelden,1.22,1
soccer,austria,regionalliga-west,2018,USK Anif - Schwaz,1.29,1
soccer,czech-republic,division-c,2018,Vysoke Myto - Brandys n. Labem,1.49,1
soccer,germany,oberliga-baden-wurttemberg,2018,Balingen - Oberachern,1.34,1
soccer,slovakia,2-liga,2018,Komarno - Bardejov,1.34,2
soccer,austria,regionalliga-central,2018,Lafnitz - Vorwarts Steyr,1.38,1
soccer,france,national-2-group-b,2018,Raon L Etape - Epinal,1.5,2
soccer,netherlands,tweede-divisie-2017-2018,2018,Achilles 29 - IJsselmeervogels,1.44,1
soccer,russia,division-2-south,2018,Armavir - Chernomorets Novorossijsk,1.39,1
soccer,russia,division-2-south,2018,FK Chayka - Mashuk,1.4,1
soccer,spain,primera-division-women,2018,Albacete W - Atletico Madrid W,1.06,2
soccer,spain,tercera-division-2017-2018,2018,Rayo Cantabria - Laredo,1.41,2
soccer,world,club-friendly,2018,Besiktas (Tur) - Kayserispor (Tur) ,1.3,1
soccer,world,world-cup-2018,2018,Serbia - Moldova,1.13,1
soccer,world,world-cup-2018,2018,Albania - Liechtenstein,1.1,1
soccer,portugal,league-cup,2018,Rio Ave - CD Cova da Piedade,1.34,1
soccer,slovakia,2-liga,2018,Poprad - Spisska Nova Ves,1.29,1
soccer,spain,tercera-division-2017-2018,2018,Constancia - Ferriolense,1.44,1
soccer,belgium,second-amateur-division-group-vfv-b,2018,Tessenderlo - Hoogstraten,1.4,1
soccer,belgium,first-amateur-division,2018,Lommel SK - Oudenaarde,1.35,1
soccer,italy,serie-c-group-c,2018,Cosenza - Paganese,1.43,1
soccer,world,world-cup-2018,2018,Croatia - Kosovo,1.03,1
soccer,usa,nwsl-women,2018,Portland Thorns W - Washington Spirit W,1.36,1
soccer,world,world-cup-2018,2018,Senegal - Burkina Faso,1.5,1
soccer,uruguay,primera-division,2018,Club Nacional - Plaza Colonia,1.3,1
basketball,usa,wnba,2018,New York Liberty W - San Antonio Stars W,1.1,1
basketball,usa,wnba,2018,Minnesota Lynx W - Chicago Sky W,1.1,1
basketball,usa,wnba,2018,Los Angeles Sparks W - Atlanta Dream W,1.09,1
basketball,australia,seabl-women,2018,Geelong W - Bendigo W,1.49,1
basketball,philippines,governors-cup,2018,San Miguel Beermen - Alaska Aces,1.27,1
basketball,australia,seabl,2018,Mt Gambier - Dandenong,1.39,1
basketball,europe,eurobasket-2017,2018,Poland - Iceland,1.15,1
basketball,europe,eurobasket-2017,2018,Latvia - Belgium,1.31,1
basketball,europe,eurobasket-2017,2018,Montenegro - Hungary,1.25,1
basketball,europe,eurobasket-2017,2018,Ukraine - Italy,1.08,2
basketball,europe,eurobasket-2017,2018,Finland - Slovenia,1.45,2
basketball,europe,eurobasket-2017,2018,Israel - Lithuania,1.32,2
basketball,world,americup,2018,USA - Virgin Islands,1.01,1
handball,europe,champions-league,2018,Sporting - Cocks,1.27,1
handball,europe,mol-liga-women,2018,Pisek W - Sala W,1.02,2
handball,romania,liga-nationala,2018,Constanta - Suceava,1.13,1
handball,denmark,888ligaen,2018,Nordsjaelland - Arhus,1.47,2
handball,europe,champions-league,2018,Presov - Alpla Hard,1.22,1
handball,denmark,888ligaen,2018,Bjerringbro/Silkeborg - Aalborg,1.49,1
handball,europe,ehf-cup,2018,Zemaitijos Dragunas - Dubrava,1.37,2
handball,romania,liga-nationala,2018,CSM Fagaras - Dinamo Bucuresti,1.13,2
handball,europe,mol-liga-women,2018,Michalovce W - HK Hodonin W,1.05,1
handball,poland,superliga,2018,Gwardia Opole - Park-Kiper Piotrkow,1.3,1
handball,europe,seha-liga,2018,Met. Skopje (Mac) - Vardar (Mac) ,1.22,2
handball,switzerland,nla,2018,TV Endingen - Suhr Aarau,1.36,2
handball,austria,hla,2018,Bruck - Krems,1.21,2
handball,portugal,andebol-1,2018,Porto - ABC Braga,1.16,1
handball,germany,2-bundesliga,2018,Eisenach - Nordhorn-Lingen,1.42,1
handball,germany,2-bundesliga,2018,Hagen - HBW Balingen-Weilstetten,1.42,2
handball,france,division-1-women,2018,Metz W - Bourg De Peage W,1.02,1
hockey,australia,aihl,2018,Melbourne Ice - Melbourne Mustangs,1.35,1
hockey,europe,champions-league,2018,Kometa Brno (Cze) - Stavanger (Nor) ,1.38,1
hockey,europe,champions-league,2018,Esbjerg (Den) - Trinec (Cze) ,1.25,2
hockey,europe,champions-league,2018,Klagenfurt (Aut) - Gap (Fra) ,1.36,1
hockey,europe,champions-league,2018,Nottingham (Gbr) - Bern (Sui) ,1.29,2
hockey,united-kingdom,challenge-cup,2018,Dundee - Belfast,1.5,2
baseball,usa,mlb,2018,San Diego Padres - Los Angeles Dodgers,1.37,2
baseball,japan,npb,2018,Fukuoka S. Hawks - Rakuten Gold. Eagles,1.41,1
baseball,south-korea,kbo,2018,Nexen Heroes - KIA Tigers,1.41,2
baseball,south-korea,kbo,2018,Doosan Bears - Samsung Lions,1.34,1
baseball,japan,npb,2018,Hanshin Tigers - Chunichi Dragons,1.45,1
baseball,taiwan,cpbl,2018,Fubon Guardians - Lamigo Monkeys,1.43,2
baseball,netherlands,hoofdklasse,2018,DSS - Storks,1.3,1
american-football,usa,ncaa,2018,Rutgers - Washington Huskies,1.03,2
american-football,usa,ncaa,2018,Florida Atlantic - Navy,1.24,2
american-football,usa,ncaa,2018,Wisconsin - Utah State,1.02,1
american-football,usa,ncaa,2018,Texas - Maryland,1.07,1
american-football,usa,ncaa,2018,Missouri - Missouri State,1.01,1
american-football,usa,ncaa,2018,Penn State - Akron,1.02,1
american-football,usa,ncaa,2018,Michigan State - Bowling Green,1.07,1
american-football,usa,ncaa,2018,Iowa - Wyoming,1.19,1
american-football,usa,ncaa,2018,Illinois - Ball State,1.37,1
american-football,usa,ncaa,2018,Clemson - Kent State,1.01,1
american-football,usa,ncaa,2018,North Carolina - California,1.19,1
american-football,usa,ncaa,2018,Pittsburgh - Youngstown State,1.16,1
american-football,usa,ncaa,2018,Air Force - VMI,1.01,1
american-football,usa,ncaa,2018,Oregon State - Portland State,1.04,1
american-football,usa,ncaa,2018,South Carolina - North Carolina State,1.46,2
american-football,usa,ncaa,2018,Oklahoma - UTEP,1.01,1
american-football,usa,ncaa,2018,Florida - Michigan,1.45,2
american-football,usa,ncaa,2018,Northwestern - Nevada,1.03,1
american-football,usa,ncaa,2018,Virginia - William &amp; Mary Tribe,1.07,1
american-football,usa,ncaa,2018,UAB - Alabama A&amp;M,1.09,1
american-football,usa,ncaa,2018,Notre Dame - Temple,1.08,1
american-football,usa,ncaa,2018,Boise State - Troy,1.23,1
american-football,usa,ncaa,2018,Mississippi St. - Charleston,1.05,1
american-football,usa,ncaa,2018,Southern Miss - Kentucky,1.23,2
american-football,usa,ncaa,2018,USC - Western Michigan,1.01,1
american-football,usa,ncaa,2018,Old Dominion - Albany,1.13,1
american-football,usa,ncaa,2018,Georgia - Appalachian State,1.14,1
rugby-league,australia,intrust-super-premiership,2018,Wyong Roos - Canterbury II,0,1
rugby-league,australia,nrl,2018,Sydney Roosters - Gold Coast Titans,1.06,1
rugby-league,australia,nrl,2018,Melbourne Storm - Canberra Raiders,1.29,1
rugby-league,england,super-league,2018,London Broncos - Warrington Wolves,1.13,2
rugby-union,australia,nrc,2018,Canberra Vikings - Queensland Country,1.18,1
rugby-union,australia,nrc,2018,Brisbane City - Fiji Warriors,1.25,1
rugby-union,new-zealand,mitre-10-cup,2018,Taranaki - Counties Manukau,1.39,1
rugby-union,south-africa,currie-cup,2018,Lions - Pumas,1.24,1
rugby-union,france,top-14,2018,Agen - Racing 92,1.41,2
rugby-union,england,aviva-premiership-rugby,2018,Saracens - Northampton Saints,1.19,1
rugby-union,world,guinness-pro14,2018,Ospreys - Zebre,1.01,1
rugby-union,england,aviva-premiership-rugby,2018,Wasps - Sale Sharks,1.16,1
rugby-union,world,guinness-pro14,2018,Dragons - Leinster,1.23,2
rugby-union,south-africa,currie-cup,2018,Sharks - Cheetahs,1.01,1
rugby-union,england,aviva-premiership-rugby,2018,London Irish - Harlequin,1.23,2
rugby-union,world,guinness-pro14,2018,Scarlets - Southern Kings,1.02,1
rugby-union,france,top-14,2018,Castres Olympique - Bordeaux Begles,1.34,1
rugby-union,france,top-14,2018,Lyon - CA Brive,1.21,1
rugby-union,france,top-14,2018,Montpellier Herault RC - Union Sportive Oyonnax,1.01,1
rugby-union,france,top-14,2018,Stade Toulousain - Section Paloise,1.14,1
volleyball,world,world-championship,2018,Chile - Venezuela,1.47,2
volleyball,russia,russia-cup,2018,Yaroslavl - Groznyj,1.08,1
volleyball,russia,russia-cup,2018,Novokuybyishevsk - Novosibirsk,1.35,2
volleyball,russia,russia-cup,2018,Nizhievartovsk - Din. Moscow,1.11,2
volleyball,europe,european-championships,2018,Serbia - Germany,1.32,1
volleyball,russia,russia-cup,2018,Krasnoyarsk - Belgorod,1.18,2
volleyball,europe,european-championships,2018,Russia - Belgium,1.23,1
