Sport,Country,League,Season,Participants,WinningOdd,Bet
handball,france,division-1-women,2018,Fleury Loiret W - Havre W,1.41,1
handball,france,division-1-women,2018,Bourg De Peage W - Issy W,1.29,2
handball,switzerland,nla,2018,Suhr Aarau - Pfadi Winterthur,1.2,2
handball,france,division-1-women,2018,Besancon W - Toulon W,1.5,1
handball,france,division-1-women,2018,Nice W - Metz W,1.41,2
handball,norway,grundigligaen-women,2018,Sola W - Storhamar W,1.39,2
baseball,usa,mlb,2018,Toronto Blue Jays - Boston Red Sox,1.42,2
baseball,usa,mlb,2018,Chicago Cubs - Pittsburgh Pirates,1.47,1
baseball,usa,mlb,2018,Minnesota Twins - Chicago White Sox,1.48,1
baseball,japan,npb,2018,Yomiuri Giants - Hiroshima Carp,1.5,2
baseball,japan,npb,2018,Nippon Ham Fighters - Fukuoka S. Hawks,1.43,2
baseball,south-korea,kbo,2018,Samsung Lions - KIA Tigers,1.47,2
baseball,south-korea,kbo,2018,KT Wiz Suwon - NC Dinos,1.28,2
baseball,cuba,serie-nacional,2018,Santiago de Cuba - Mayabeque,1.44,1
baseball,usa,mlb,2018,Washington Nationals - Miami Marlins,1.47,1
rugby-union,new-zealand,mitre-10-cup,2018,Auckland - Waikato,1.39,1
water-polo,world,universiade,2018,Hungary Univ. - Japan Univ.,1.16,1
water-polo,world,universiade,2018,France Univ. - Italy Univ.,1.13,2
water-polo,world,universiade,2018,Serbia Univ. - Russia Univ.,1.35,1
volleyball,world,friendly-international-women,2018,USA W - Brazil W,1.27,1
volleyball,russia,russia-cup,2018,Novokuybyishevsk - Sterlitamak,1.17,1
volleyball,russia,russia-cup,2018,Yaroslavl - Din. Moscow,1.1,2
volleyball,russia,russia-cup,2018,Orenburg - Novosibirsk,1.03,2
volleyball,russia,russia-cup,2018,Zenit Kazan - Dinamo-Lo,1.37,1
volleyball,russia,russia-cup,2018,Krasnoyarsk - Chelyabinsk,1.17,1
volleyball,russia,russia-cup,2018,Nizhievartovsk - Groznyj,1.08,1
volleyball,russia,russia-cup,2018,Kemerovo - Makhachkala,1.25,1
volleyball,europe,european-championships,2018,Bulgaria - Finland,1.16,1
volleyball,europe,european-championships,2018,Italy - Turkey,1.2,1
volleyball,russia,russia-cup,2018,Zenit St. Petersburg - N. Novgorod,1.01,1
volleyball,russia,russia-cup,2018,Barnaul - Belgorod,1.02,2
volleyball,russia,russia-cup,2018,Ufa - Lokomotiv Izumrud,1.29,1
volleyball,europe,european-championships,2018,France - Czech Republic,1.02,1
volleyball,europe,european-championships,2018,Poland - Slovenia,1.29,1
