Sport,Country,League,Participants,SportId,SportIndex,CountryId,CountryIndex,LeagueId,LeagueIndex,Bet,HomeTeamId,HomeTeamIndex,AwayTeamId,AwayTeamIndex,HomeOdd,DrawOdd,AwayOdd,IsPlayoffs,IsCup,IsWomen,Prediction,Probability,Kelly
soccer,bosnia-and-herzegovina,bosnia-and-herzegovina-cup,Zeljeznicar - Mladost DK,9,8,173,17,2040,3,1,42398,2,42402,6,1.5,3.63,6.05,0,1,0,1,0.6113592636216879,-0.16592220913493616
soccer,italy,coppa-italia-primavera,Bari U19 - Crotone U19,9,8,220,64,2377,35,1,54459,9,54474,10,1.74,3.49,4.01,0,1,0,1,0.5034644514945501,-0.16752953297227402
basketball,europe,eurocup,&nbsp;Lyon-Villeurbanne - Zenit Petersburg,7,6,196,40,2852,2,1,68478,67,46165,34,1.52,0.0,2.52,0,0,0,1,0.6001218715388651,-0.16887452934793284
soccer,germany,oberliga-mittelrhein,Alfter - Freialdenhoven,9,8,204,48,2261,22,2,49663,15,49661,13,3.5,4.0,1.72,0,0,0,2,0.5106044194994278,-0.16911166452914472
basketball,uruguay,liga-capital,Welcome - Goes,7,6,297,141,3047,0,1,72380,10,72379,9,1.3,0.0,3.15,0,0,0,1,0.730083753264711,-0.16963706918625215
volleyball,italy,serie-a1,Vibo Valentia - Padova,2,1,220,64,3732,0,1,85696,10,52000,34,1.57,0.0,2.34,0,0,0,1,0.5752783841783304,-0.16984725761407213
handball,france,division-1-women,Metz W - Issy W,6,5,200,44,3145,4,1,48515,9,48521,15,1.2,12.17,5.07,0,0,1,1,0.8049813177185576,-0.17011209368865468
handball,norway,grundigligaen-women,Tertnes W - Fredrikstad W,6,5,254,98,3176,3,1,74529,141,75878,15,1.44,9.13,3.31,0,0,1,1,0.6421101639157427,-0.17127582718484213
basketball,europe,euroleague-women,Euroleasing Sopron W - Dynamo Kursk W,7,6,196,40,2886,36,2,69103,9,69094,0,4.21,0.0,1.21,0,0,1,2,0.7962854974922572,-0.17378356206842288
soccer,turkey,turkish-cup,Eyupspor - Gumushanespor,9,8,292,136,2685,18,1,63460,1,63611,0,1.48,4.04,5.96,0,1,0,1,0.6183732040716023,-0.17668262077922617
hockey,czech-republic,wsm-liga,Karlovy Vary - Usti nad Labem,5,4,187,31,3258,1,1,44265,31,44176,21,1.3,6.0,6.11,0,0,0,1,0.7277439988874431,-0.1797760048210798
soccer,lithuania,a-lyga,Utenis - Suduva,9,8,234,78,2409,0,2,55047,5,46740,12,5.36,4.02,1.48,0,0,0,2,0.6165093726985226,-0.18242943417955543
basketball,europe,fiba-europe-cup,Bakken Bears - Benfica,7,6,196,40,2854,4,1,68281,0,46144,13,1.46,0.0,2.74,0,1,0,1,0.6269398304914319,-0.18406053800545533
soccer,costa-rica,primera-division,U.C.R. - Saprissa,9,8,184,28,2097,0,2,43849,5,43844,0,6.35,4.06,1.44,0,0,0,2,0.6375778530405537,-0.18610884459455163
