Sport,Country,League,Participants,SportId,CountryId,LeagueId,Bet,HomeTeamId,AwayTeamId,HomeOdd,DrawOdd,AwayOdd,IsPlayoffs,IsCup,IsWomen,Prediction,Probability,Kelly
soccer,paraguay,primera-division,Rubio Nu - Independiente,9,259,2491,1,57344,57342,2.33,3.21,2.81,0,0,0,1,0.38643932177554197,-0.07488449643833625
soccer,argentina,primera-c-metropolitana,Sportivo Italiano - Defensores Unidos,9,160,1953,2,39867,39859,2.63,3.0,2.5,0,0,0,2,0.35395094070477134,-0.07674843215871441
soccer,france,national,Red Star - Chambly,9,200,2225,1,48016,47993,2.21,3.13,3.25,0,0,0,1,0.4100681184781047,-0.07747889104412285
hockey,slovakia,tipsport-liga,Zvolen - Zilina,5,275,3347,1,79006,79005,1.81,4.69,3.2,0,0,0,1,0.5176557518906316,-0.07783097417031697
soccer,south-africa,first-division,Cape Town All Stars - Black Leopards,9,277,2590,1,60369,60365,2.2,3.1,3.03,0,0,0,1,0.4118092312961761,-0.07834974262367714
soccer,peru,primera-division,Sport Rosario - Alianza Lima,9,260,2492,1,57369,57364,2.1,3.22,3.39,0,0,0,1,0.4349018044704628,-0.07882382782911646
soccer,qatar,premier-league,Al Rayyan - Al-Duhail,9,264,2527,2,58484,58481,2.8,3.63,2.12,0,0,0,2,0.4294563682528178,-0.0799575886643091
hockey,germany,del2,Frankfurt Lowen - Lausitzer Fuchse,5,204,3316,1,78469,78478,1.58,5.17,3.88,0,0,0,1,0.6031020636492244,-0.08120472316245773
hockey,canada,ohl,Barrie Colts - Soo Greyhounds,5,180,3249,2,77616,77606,3.03,4.35,1.87,0,0,0,2,0.4959293815354458,-0.08346213394105317
soccer,jordan,premier-league,That Ras - Mansheyat,9,224,2387,1,54756,54759,2.39,3.17,2.6,0,0,0,1,0.3696678788791407,-0.08380846725097388
soccer,indonesia,liga-1,Perseru Serui - Arema FC,9,215,2324,1,51310,51304,2.3,3.24,2.75,0,0,0,1,0.38717444411973356,-0.0842298296343176
soccer,ecuador,serie-a,Delfin - Barcelona SC,9,190,2141,2,45179,45187,3.73,3.2,1.93,0,0,0,2,0.47739834773105355,-0.08453891277318996
soccer,jordan,premier-league,Al Jazeera Amman - Al Ramtha,9,224,2387,1,54749,54758,2.24,3.08,2.88,0,0,0,1,0.3992750930608244,-0.08518047705141388
soccer,germany,3-liga,Lotte - Hallescher,9,204,2241,1,48695,48693,2.09,3.26,3.53,0,0,0,1,0.4328963475909229,-0.08738223260089102
soccer,germany,regionalliga-nordost,Auerbach - BFC Dynamo,9,204,2243,2,48827,48828,3.82,3.62,1.85,0,0,0,2,0.5003615608258183,-0.08744836761439542
soccer,portugal,primeira-liga,Chaves - Tondela,9,263,2517,1,58016,58021,1.79,3.51,4.73,0,0,0,1,0.5199034236724431,-0.08781376155231237
soccer,belgium,proximus-league,St. Gilloise - Cercle Brugge KSV,9,170,2024,2,42039,42044,3.22,3.47,2.01,0,0,0,2,0.45332401511102566,-0.08793933626419662
rugby-union,england,aviva-premiership-rugby,Newcastle Falcons - London Irish,3,193,3516,1,81826,81833,1.11,32.51,6.45,0,0,0,1,0.8920892684014343,-0.08891738249461617
rugby-league,england,super-league,Leeds Rhinos - Hull FC,4,193,3500,1,81567,81571,1.78,18.03,2.1,0,0,0,1,0.5227573041998781,-0.08909230580027813
volleyball,europe,european-championships-women,Azerbaijan W - Germany W,2,196,3681,1,84170,84169,1.25,0.0,3.8,0,0,1,1,0.7819457985707899,-0.09027100714605041
soccer,argentina,primera-c-metropolitana,El Porvenir - Def. de Cambaceres,9,160,1953,1,39871,39852,2.2,2.98,3.09,0,0,0,1,0.4049623003219366,-0.09090244940978282
soccer,indonesia,liga-1,Bhayangkara Utd - Bali United,9,215,2324,1,51309,51306,2.17,3.42,2.83,0,0,0,1,0.4116110286314801,-0.09128552809375061
soccer,austria,erste-liga,BW Linz - Kapfenberg,9,165,2006,1,41468,41471,2.07,3.4,3.41,0,0,0,1,0.435550896892717,-0.0919716293757719
soccer,slovenia,prva-liga,Celje - Domzale,9,276,2585,2,60226,60225,3.77,3.39,1.85,0,0,0,2,0.4982440692398593,-0.09205702577207091
soccer,france,national,Boulogne - Sannois,9,200,2225,1,48002,48049,2.08,3.15,3.57,0,0,0,1,0.43232003866093827,-0.0933095551715263
hockey,france,ligue-magnus,Angers - Gap,5,200,3311,2,78381,78374,2.87,4.52,1.89,0,0,0,2,0.4849626275408396,-0.09373104937956551
soccer,germany,regionalliga-bayern,Nurnberg II - SpVgg Bayreuth,9,204,2246,1,49005,49002,1.99,3.69,3.33,0,0,0,1,0.45556341184625265,-0.09437253578379513
baseball,cuba,serie-nacional,Industriales - Holguin,8,308,3442,1,80911,80909,1.44,0.0,2.71,0,0,0,1,0.6655936386312271,-0.0944208190250749
soccer,belarus,vysshaya-liga,Isloch Minsk - Slavia Mozyr,9,169,2019,1,41901,41907,2.15,3.08,3.18,0,0,0,1,0.4144511501578285,-0.09472176274840756
soccer,france,ligue-2,Lens - GFC Ajaccio,9,200,2224,1,47954,47948,1.89,3.29,4.41,0,0,0,1,0.4843736433558795,-0.09498181354762675
soccer,russia,youth-league,Rubin Kazan U21 - Amkar U21,9,266,2542,1,59046,59045,1.36,4.4,8.8,0,0,0,1,0.7100823942736955,-0.09524428829937251
soccer,netherlands,eerste-divisie,Nijmegen - Maastricht,9,248,2445,1,55957,55960,1.97,3.56,3.59,0,0,0,1,0.460587753055267,-0.09550734688775672
soccer,italy,serie-b,Parma - Salernitana,9,220,2343,1,52021,51983,1.99,3.13,4.18,0,0,0,1,0.4545943744535328,-0.09632039882572702
