Sport,Country,League Name,Margin,Total Records,Records Per Season,Success Records,Avg. Odd,Success Rate,Money Made,Money Per Game,Rate Of Available Money,Number Of Seasons,No Of Positive Seasons,Money Low,Money High,Rate Low,Rate High
soccer,guatemala,liga-nacional,1.20,24,24,24,1.1675,1.0000,4.02,0.1675,1.0000,1,1,0.1675,0.1675,1,1
soccer,hungary,nb-ii-east,1.20,21,7,7,1.1650,1.0000,1.09333333333333,0.1650,1.0000,3,3,0.135,0.2,1,1
soccer,iceland,league-cup,1.20,28,4.66666666666667,4.66666666666667,1.1733,1.0000,0.803333333333333,0.1733,1.0000,6,6,0.155,0.2,0.999999999999999,1
soccer,indonesia,liga-1,1.20,60,8.57142857142857,8.57142857142857,1.1771,1.0000,1.50714285714286,0.1771,1.0000,7,7,0.145,0.2,0.999999999999999,1
soccer,indonesia,premier-league,1.40,30,15,12.5,1.3600,0.8333,2.07,0.1375,0.3819,2,2,0.135,0.14,0.378504672897196,0.385321100917432
soccer,iraq,super-league,1.20,24,4,4,1.1722,1.0000,0.683333333333333,0.1722,1.0000,6,6,0.14,0.2,1,1
soccer,israel,leumit-league,1.30,42,8.4,8.4,1.2653,1.0000,2.208,0.2653,1.0000,5,5,0.23,0.3,0.999999999999999,1
soccer,italy,lega-pro-c1-b,1.20,21,21,21,1.1533,1.0000,3.22,0.1533,1.0000,1,1,0.153333333333333,0.153333333333333,0.999999999999999,0.999999999999999
soccer,italy,lega-pro-c2-b,1.20,23,7.66666666666667,7.66666666666667,1.1600,1.0000,1.23333333333333,0.1600,1.0000,3,3,0.11,0.2,0.999999999999999,1
soccer,italy,lega-pro-group-c,1.20,22,11,11,1.1850,1.0000,1.99,0.1850,1.0000,2,2,0.17,0.2,1,1
soccer,italy,lega-pro-group-c,1.30,73,36.5,36.5,1.2429,1.0000,9.025,0.2429,1.0000,2,2,0.23,0.255714285714286,0.999999999999998,1
soccer,italy,lega-pro-group-c,1.40,32,10.6666666666667,10.6666666666667,1.3500,1.0000,3.72666666666667,0.3500,1.0000,3,3,0.34,0.36,1,1
soccer,italy,lega-pro-group-c,1.50,26,13,13,1.4250,1.0000,5.6,0.4250,1.0000,2,2,0.41,0.44,1,1
soccer,japan,j-league,1.20,28,7,7,1.1625,1.0000,1.1375,0.1625,1.0000,4,4,0.12,0.2,0.999999999999999,1
soccer,japan,j-league,1.30,81,10.125,10.125,1.2669,1.0000,2.665,0.2669,1.0000,8,8,0.23,0.3,0.999999999999999,1
soccer,luxembourg,national-division,1.30,45,7.5,7.5,1.2467,1.0000,1.89,0.2467,1.0000,6,6,0.21,0.265,0.999999999999999,1
soccer,scotland,championship,1.20,20,10,10,1.1850,1.0000,1.86,0.1850,1.0000,2,2,0.18,0.19,1,1
soccer,scotland,league-one,1.20,28,5.6,5.6,1.1633,1.0000,0.92,0.1633,1.0000,5,5,0.12,0.2,1,1
soccer,spain,segunda-division-b-group-1,1.20,44,11,11,1.1500,1.0000,1.72,0.1500,1.0000,4,4,0.13,0.18,0.999999999999998,1
soccer,spain,segunda-division-b-group-2,1.20,26,8.66666666666667,8.66666666666667,1.1367,1.0000,1.17,0.1367,1.0000,3,3,0.11,0.18,0.999999999999999,1
soccer,spain,segunda-division-b-group-2,1.30,27,6.75,6.75,1.2650,1.0000,1.83,0.2650,1.0000,4,4,0.22,0.3,1,1
soccer,tunisia,ligue-professionnelle-1,1.20,36,7.2,7.2,1.1840,1.0000,1.312,0.1840,1.0000,5,5,0.165,0.2,0.999999999999999,1
soccer,ukraine,youth-league,1.20,20,20,20,1.1620,1.0000,3.24,0.1620,1.0000,1,1,0.162,0.162,0.999999999999999,0.999999999999999
soccer,united-arab-emirates,uae-league,1.20,33,6.6,6.6,1.1733,1.0000,1.138,0.1733,1.0000,5,5,0.14,0.19,1,1
soccer,venezuela,primera-division,1.20,21,7,7,1.1833,1.0000,1.27666666666667,0.1833,1.0000,3,3,0.17,0.2,1,1
soccer,world,club-friendly,1.20,33,11,11,1.1433,1.0000,1.57666666666667,0.1433,1.0000,3,3,0.12,0.17,0.999999999999998,1
soccer,world,world-cup-u17,1.30,24,6,6,1.2533,1.0000,1.515,0.2533,1.0000,4,4,0.223333333333333,0.27,1,1
soccer,world,world-cup,1.20,38,12.6666666666667,12.6666666666667,1.1450,1.0000,1.87,0.1450,1.0000,3,3,0.11,0.165,0.999999999999998,1
soccer,world,world-cup,1.50,46,15.3333333333333,15.3333333333333,1.4422,1.0000,6.84333333333333,0.4422,1.0000,3,3,0.43,0.456666666666667,1,1
volleyball,asia,asian-championship,1.40,20,6.66666666666667,6,1.3414,0.9524,1.4,0.2757,0.8145,3,3,0.157142857142857,0.34,0.443548387096774,1
volleyball,cyprus,opap-championship,1.20,26,5.2,5.2,1.1449,1.0000,0.756,0.1449,1.0000,5,5,0.126666666666667,0.16,0.999999999999999,1
volleyball,russia,superleague-east,1.30,20,20,18,1.2390,0.9000,2.32,0.1160,0.4854,1,1,0.116,0.116,0.485355648535564,0.485355648535564
