Sport,Country,League Name,Margin,Total Records,Success Records,Avg. Odd,Success Rate,Money Made,Money Per Game,Rate Of Available Money
basketball,netherlands,dbl,1.50,131,102,1.4488,0.7786,16.81,0.1283,0.2859
basketball,philippines,governors-cup,1.50,39,32,1.4456,0.8205,7.2,0.1846,0.4143
basketball,philippines,philippine-cup,1.40,66,56,1.3642,0.8485,10.28,0.1558,0.4276
basketball,puerto-rico,bsn,1.30,54,50,1.2713,0.9259,9.45000000000001,0.1750,0.6451
basketball,puerto-rico,bsn,1.40,154,134,1.3642,0.8701,28.79,0.1869,0.5133
basketball,qatar,qbl,1.20,20,20,1.1640,1.0000,3.28,0.1640,1.0000
basketball,russia,pbl,1.40,86,73,1.3447,0.8488,12.45,0.1448,0.4200
basketball,russia,vtb-united-league,1.30,140,134,1.2580,0.9571,28.54,0.2039,0.7901
basketball,slovenia,liga-nova-kbm,1.20,101,98,1.1393,0.9703,10.74,0.1063,0.7633
basketball,spain,leb-plata,1.40,33,27,1.3627,0.8182,3.81,0.1155,0.3183
basketball,sweden,basketligan-women,1.50,24,24,1.4717,1.0000,11.32,0.4717,1.0000
basketball,sweden,ligan,1.20,203,196,1.1496,0.9655,22.25,0.1096,0.7326
basketball,switzerland,lna,1.50,111,91,1.4472,0.8198,20.68,0.1863,0.4166
basketball,turkey,kbsl-women,1.40,68,64,1.3547,0.9412,18.52,0.2724,0.7678
basketball,turkey,super-ligi,1.20,294,294,1.1435,1.0000,42.1799999999999,0.1435,1.0000
basketball,turkey,tbl,1.50,85,68,1.4600,0.8000,14.22,0.1673,0.3637
basketball,usa,cit,1.50,28,24,1.4586,0.8571,6.96,0.2486,0.5421
basketball,usa,wnba,1.20,208,204,1.1513,0.9808,27.03,0.1300,0.8589
basketball,venezuela,lpb,1.20,80,76,1.1688,0.9500,8.89999999999999,0.1113,0.6593
basketball,venezuela,lpb,1.40,160,144,1.3595,0.9000,35.6,0.2225,0.6189
basketball,world,friendly-international,1.50,56,43,1.4532,0.7679,6.68,0.1193,0.2632
basketball,world,world-championship-u19-women,1.40,22,20,1.3727,0.9091,5.5,0.2500,0.6707
basketball,world,world-championship-u19-women,1.50,20,16,1.4520,0.8000,3.2,0.1600,0.3540
handball,austria,wha-women,1.40,22,20,1.3695,0.9091,5.39,0.2450,0.6630
handball,denmark,primo-tours-ligaen-women,1.30,123,112,1.2520,0.9106,17.47,0.1420,0.5635
handball,estonia,meistriliiga,1.20,28,27,1.1489,0.9643,3.02,0.1079,0.7242
handball,europe,champions-league-women,1.50,44,35,1.4673,0.7955,7.15,0.1625,0.3478
handball,finland,sm-sarja,1.40,75,63,1.3616,0.8400,10.83,0.1444,0.3993
handball,france,division-1-women,1.40,89,75,1.3652,0.8427,13.29,0.1493,0.4089
handball,hungary,nb-i-women,1.50,72,59,1.4606,0.8194,14.16,0.1967,0.4270
handball,norway,1-division-women,1.30,62,56,1.2627,0.9032,8.88,0.1432,0.5451
handball,norway,1-division,1.40,51,43,1.3616,0.8431,7.58,0.1486,0.4111
handball,norway,1-division,1.50,68,52,1.4685,0.7647,8.25,0.1213,0.2589
handball,romania,liga-nationala,1.40,117,100,1.3702,0.8547,20.01,0.1710,0.4620
handball,russia,superleague-women,1.30,46,43,1.2639,0.9348,8.48,0.1843,0.6985
handball,serbia,superliga,1.50,33,27,1.4555,0.8182,6.27,0.1900,0.4172
handball,slovenia,1-a-drl-women,1.20,24,24,1.1550,1.0000,3.72,0.1550,1.0000
handball,slovenia,1-nlb-lig,1.50,36,31,1.4597,0.8611,9.11,0.2531,0.5505
handball,sweden,handbollsligan,1.30,343,305,1.2622,0.8892,41.9,0.1222,0.4658
handball,sweden,she-women,1.50,45,41,1.4509,0.9111,14.61,0.3247,0.7201
handball,world,friendly-international-women,1.30,25,24,1.2696,0.9600,5.47,0.2188,0.8116
handball,world,world-championship-u21,1.40,27,24,1.3633,0.8889,5.79,0.2144,0.5902
handball,world,world-championship-women,1.50,28,22,1.4471,0.7857,3.73,0.1332,0.2979
handball,world,world-championship,1.40,57,47,1.3630,0.8246,7.18999999999999,0.1261,0.3475
hockey,canada,ohl,1.30,44,44,1.2600,1.0000,11.44,0.2600,1.0000
hockey,canada,ohl,1.40,121,99,1.3600,0.8182,13.31,0.1100,0.3056
hockey,czech-republic,wsm-liga,1.40,253,209,1.3600,0.8261,31.43,0.1242,0.3451
hockey,denmark,metal-ligaen,1.50,198,157,1.4481,0.7929,29.78,0.1504,0.3356
hockey,europe,champions-league,1.30,27,26,1.2541,0.9630,5.61,0.2078,0.8178
hockey,europe,champions-league,1.40,28,28,1.3400,1.0000,9.52,0.3400,1.0000
hockey,finland,mestis,1.20,64,64,1.1563,1.0000,10,0.1563,1.0000
hockey,finland,mestis,1.40,202,173,1.3606,0.8564,32.9100000000001,0.1629,0.4518
hockey,france,ligue-magnus,1.20,66,66,1.1550,1.0000,10.23,0.1550,1.0000
hockey,france,ligue-magnus,1.50,151,115,1.4521,0.7616,15.57,0.1031,0.2281
hockey,germany,del,1.40,154,138,1.3746,0.8961,35.79,0.2324,0.6204
hockey,germany,del2,1.20,34,34,1.1841,1.0000,6.26,0.1841,1.0000
hockey,hungary,mol-liga,1.20,32,32,1.1525,1.0000,4.88,0.1525,1.0000
hockey,italy,serie-a,1.40,76,65,1.3428,0.8553,11.4,0.1500,0.4376
hockey,italy,serie-a,1.50,106,100,1.4450,0.9434,38.65,0.3646,0.8194
hockey,kazakhstan,championship,1.20,41,41,1.1500,1.0000,6.15,0.1500,1.0000
hockey,norway,division-1,1.50,62,50,1.4589,0.8065,10.93,0.1763,0.3842
hockey,norway,get-ligaen,1.20,158,152,1.1487,0.9620,16.65,0.1054,0.7088
hockey,norway,get-ligaen,1.50,190,144,1.4585,0.7579,20.53,0.1081,0.2357
hockey,poland,polish-hockey-league,1.40,194,169,1.3623,0.8711,36.49,0.1881,0.5192
hockey,russia,mhl,1.30,33,33,1.2533,1.0000,8.36,0.2533,1.0000
hockey,russia,mhl,1.40,88,77,1.3750,0.8750,17.71,0.2013,0.5367
hockey,russia,nmhl,1.30,20,20,1.2650,1.0000,5.3,0.2650,1.0000
hockey,slovakia,1-liga,1.30,34,30,1.2729,0.8824,4.12,0.1212,0.4440
hockey,sweden,allettan-norra,1.40,53,44,1.3604,0.8302,6.76,0.1275,0.3539
hockey,sweden,allettan-sodra,1.40,61,52,1.3577,0.8525,9.6,0.1574,0.4400
hockey,sweden,division-1-e,1.50,42,33,1.4586,0.7857,5.97,0.1421,0.3100
hockey,sweden,division-1-norra,1.30,30,30,1.2620,1.0000,7.86,0.2620,1.0000
hockey,sweden,hockeyallsvenskan,1.50,162,126,1.4556,0.7778,20.79,0.1283,0.2817
hockey,sweden,hockeyettan-norra,1.40,67,56,1.3543,0.8358,8.96,0.1337,0.3774
hockey,sweden,hockeyettan-ostra,1.40,84,78,1.3443,0.9286,20.94,0.2493,0.7241
hockey,sweden,hockeyettan-sodra,1.40,81,68,1.3493,0.8395,10.72,0.1323,0.3789
hockey,sweden,hockeyettan-sodra,1.50,49,43,1.4590,0.8776,13.67,0.2790,0.6078
hockey,sweden,hockeyettan-vastra,1.40,68,62,1.3466,0.9118,15.59,0.2293,0.6614
hockey,sweden,shl,1.20,32,32,1.1600,1.0000,5.12,0.1600,1.0000
hockey,united-kingdom,elite-league,1.30,79,74,1.2494,0.9367,13.4,0.1696,0.6802
hockey,united-kingdom,elite-league,1.40,112,94,1.3673,0.8393,16.6,0.1482,0.4035
hockey,usa,fhl,1.30,26,23,1.2623,0.8846,3.01,0.1158,0.4413
hockey,world,club-friendly,1.20,22,22,1.1700,1.0000,3.74,0.1700,1.0000
hockey,world,friendly-international,1.40,79,70,1.3573,0.8861,16.32,0.2066,0.5781
rugby-league,australia,intrust-super-cup,1.30,113,100,1.2507,0.8850,11.97,0.1059,0.4225
rugby-league,australia,intrust-super-cup,1.50,102,86,1.4549,0.8431,23.33,0.2287,0.5028
rugby-union,england,aviva-premiership-rugby,1.50,129,99,1.4577,0.7674,15.03,0.1165,0.2546
rugby-union,england,greene-king-ipa-championship,1.40,21,18,1.3671,0.8571,3.57,0.1700,0.4630
rugby-union,france,pro-d2,1.40,131,111,1.3478,0.8473,18.91,0.1444,0.4151
rugby-union,france,top-14,1.50,100,76,1.4512,0.7600,10.32,0.1032,0.2287
rugby-union,south-africa,currie-cup,1.30,33,31,1.2579,0.9394,5.91,0.1791,0.6945
soccer,albania,albanian-cup,1.40,27,22,1.3659,0.8148,3.11,0.1152,0.3148
soccer,algeria,division-1,1.40,67,62,1.3648,0.9254,17.74,0.2648,0.7259
soccer,algeria,division-1,1.50,94,82,1.4671,0.8723,26.44,0.2813,0.6021
soccer,argentina,primera-division,1.20,26,26,1.1592,1.0000,4.14,0.1592,1.0000
soccer,argentina,primera-division,1.40,113,96,1.3651,0.8496,18.32,0.1621,0.4440
soccer,armenia,premier-league,1.50,40,33,1.4618,0.8250,7.97,0.1993,0.4315
soccer,asia,afc-cup,1.40,60,50,1.3462,0.8333,7.12,0.1187,0.3428
soccer,australia,a-league,1.40,64,55,1.3614,0.8594,10.71,0.1673,0.4630
soccer,australia,northern-nsw,1.50,23,18,1.4535,0.7826,3.14,0.1365,0.3011
soccer,australia,npl-tasmania,1.20,30,30,1.1513,1.0000,4.54,0.1513,1.0000
soccer,australia,npl-victoria,1.30,38,38,1.2642,1.0000,10.04,0.2642,1.0000
soccer,australia,npl-victoria,1.50,74,63,1.4512,0.8514,17.31,0.2339,0.5184
soccer,austria,erste-liga,1.30,68,60,1.2615,0.8824,7.54,0.1109,0.4241
soccer,austria,erste-liga,1.50,140,108,1.4589,0.7714,17.4,0.1243,0.2709
soccer,austria,regionalliga-central,1.20,58,58,1.1690,1.0000,9.8,0.1690,1.0000
soccer,austria,regionalliga-west,1.20,65,65,1.1608,1.0000,10.45,0.1608,1.0000
soccer,austria,regionalliga-west,1.30,105,95,1.2576,0.9048,14.3,0.1362,0.5287
soccer,austria,regionalliga-west,1.50,95,72,1.4491,0.7579,9.57,0.1007,0.2243
soccer,azerbaijan,premier-league,1.20,39,39,1.1685,1.0000,6.57,0.1685,1.0000
soccer,azerbaijan,premier-league,1.50,71,67,1.4625,0.9437,27.2,0.3831,0.8283
soccer,belgium,jupiler-league,1.20,81,81,1.1593,1.0000,12.9,0.1593,1.0000
soccer,belgium,jupiler-league,1.30,152,137,1.2508,0.9013,19.4,0.1276,0.5089
soccer,belgium,proximus-league,1.20,47,47,1.1657,1.0000,7.79,0.1657,1.0000
soccer,belgium,second-amateur-division-group-vfv-a,1.20,37,37,1.1676,1.0000,6.2,0.1676,1.0000
soccer,bolivia,liga-de-futbol-prof,1.20,58,58,1.1683,1.0000,9.76,0.1683,1.0000
soccer,brazil,campeonato-catarinense,1.50,28,22,1.4593,0.7857,4.12,0.1471,0.3204
soccer,brazil,campeonato-cearense,1.40,30,28,1.3493,0.9333,7.8,0.2600,0.7443
soccer,brazil,campeonato-gaucho,1.50,37,30,1.4527,0.8108,6.61,0.1786,0.3946
soccer,brazil,campeonato-goiano,1.40,25,25,1.3632,1.0000,9.08,0.3632,1.0000
soccer,brazil,campeonato-mineiro,1.30,26,24,1.2492,0.9231,4,0.1538,0.6173
soccer,brazil,serie-b,1.30,80,72,1.2550,0.9000,10.16,0.1270,0.4980
soccer,brazil,serie-c,1.50,61,51,1.4631,0.8361,13.46,0.2207,0.4765
soccer,bulgaria,bulgarian-cup,1.30,24,21,1.2638,0.8750,2.57,0.1071,0.4060
soccer,canada,csl,1.50,59,45,1.4571,0.7627,6.51,0.1103,0.2414
soccer,chile,chilean-cup,1.50,55,48,1.4565,0.8727,14.89,0.2707,0.5930
soccer,china,jia-league,1.50,113,86,1.4619,0.7611,12.38,0.1096,0.2372
soccer,china,super-league,1.20,54,54,1.1517,1.0000,8.19,0.1517,1.0000
soccer,china,super-league,1.50,137,104,1.4580,0.7591,14.2,0.1036,0.2263
soccer,china,yi-league,1.20,21,21,1.1557,1.0000,3.27,0.1557,1.0000
soccer,colombia,torneo-aguila,1.40,111,100,1.3527,0.9009,24.23,0.2183,0.6189
soccer,czech-republic,division-2,1.20,54,54,1.1511,1.0000,8.16,0.1511,1.0000
soccer,czech-republic,u19-league,1.40,20,19,1.3800,0.9500,6.23,0.3115,0.8197
soccer,denmark,1st-division,1.40,140,121,1.3601,0.8643,24.55,0.1754,0.4869
soccer,denmark,2nd-division-group-1,1.50,20,15,1.4625,0.7500,2.05,0.1025,0.2216
soccer,denmark,2nd-division-group-2,1.50,20,15,1.4625,0.7500,2.05,0.1025,0.2216
soccer,denmark,2nd-division-group-3,1.50,20,15,1.4625,0.7500,2.05,0.1025,0.2216
soccer,denmark,3f-ligaen-women,1.40,34,29,1.3485,0.8529,5.13,0.1509,0.4329
soccer,ecuador,serie-a,1.20,22,22,1.1918,1.0000,4.22,0.1918,1.0000
soccer,egypt,premier-league,1.30,64,64,1.2544,1.0000,16.28,0.2544,1.0000
soccer,el-salvador,primera-division,1.50,81,70,1.4667,0.8642,21.9,0.2704,0.5794
soccer,england,championship,1.30,81,81,1.2649,1.0000,21.46,0.2649,1.0000
soccer,england,fa-trophy,1.30,58,52,1.2695,0.8966,7.89,0.1360,0.5048
soccer,england,league-one,1.20,33,33,1.1667,1.0000,5.5,0.1667,1.0000
soccer,england,league-one,1.30,82,71,1.2839,0.8659,8.98000000000002,0.1095,0.3857
soccer,england,league-two,1.30,33,33,1.2267,1.0000,7.48,0.2267,1.0000
soccer,england,league-two,1.50,262,207,1.4523,0.7901,38.41,0.1466,0.3242
soccer,england,premier-league-u21,1.50,52,41,1.4588,0.7885,8.1,0.1558,0.3395
soccer,england,southern-premier-league,1.20,22,22,1.1550,1.0000,3.41,0.1550,1.0000
soccer,england,southern-premier-league,1.50,158,129,1.4519,0.8165,30.02,0.1900,0.4204
soccer,england,vanarama-national-league-north,1.30,96,86,1.2727,0.8958,13.18,0.1373,0.5034
soccer,england,vanarama-national-league-south,1.20,30,30,1.1667,1.0000,5,0.1667,1.0000
soccer,england,vanarama-national-league-south,1.40,172,153,1.3525,0.8895,34.21,0.1989,0.5642
soccer,england,vanarama-national-league,1.50,274,216,1.4499,0.7883,38.85,0.1418,0.3151
soccer,estonia,esiliiga,1.50,50,41,1.4610,0.8200,9.76,0.1952,0.4234
soccer,europe,bene-league-women,1.50,28,24,1.4679,0.8571,7.3,0.2607,0.5573
soccer,europe,euro-u17,1.30,49,44,1.2590,0.8980,6.37,0.1300,0.5020
soccer,europe,euro-u21,1.50,131,106,1.4430,0.8092,21.79,0.1663,0.3755
soccer,europe,euro,1.20,25,25,1.1612,1.0000,4.03,0.1612,1.0000
soccer,europe,europa-league,1.20,26,26,1.1677,1.0000,4.36,0.1677,1.0000
soccer,europe,uefa-youth-league,1.20,48,48,1.1667,1.0000,8,0.1667,1.0000
soccer,europe,uefa-youth-league,1.30,35,32,1.2474,0.9143,5,0.1429,0.5774
soccer,faroe-islands,premier-league,1.20,61,61,1.1690,1.0000,10.31,0.1690,1.0000
soccer,faroe-islands,premier-league,1.30,91,80,1.2568,0.8791,9.63,0.1058,0.4121
soccer,finland,kakkonen-east,1.20,27,27,1.1711,1.0000,4.62,0.1711,1.0000
soccer,finland,kakkonen-east,1.30,21,21,1.2486,1.0000,5.22,0.2486,1.0000
soccer,finland,kakkonen-group-a,1.20,23,23,1.1522,1.0000,3.5,0.1522,1.0000
soccer,finland,kakkonen-group-b,1.30,25,25,1.2588,1.0000,6.47,0.2588,1.0000
soccer,finland,kakkonen-group-b,1.40,41,34,1.3595,0.8293,5.2,0.1268,0.3528
soccer,finland,kakkonen-north,1.30,30,27,1.2530,0.9000,3.93,0.1310,0.5178
soccer,finland,kakkonen-south,1.30,30,30,1.2420,1.0000,7.26,0.2420,1.0000
soccer,finland,kakkonen-west,1.30,27,27,1.2544,1.0000,6.87,0.2544,1.0000
soccer,finland,kakkonen-west,1.50,51,42,1.4553,0.8235,10.05,0.1971,0.4328
soccer,finland,veikkausliiga,1.50,136,109,1.4516,0.8015,22.31,0.1640,0.3632
soccer,france,division-1-women,1.20,23,23,1.1639,1.0000,3.77,0.1639,1.0000
soccer,france,ligue-2,1.20,32,32,1.1725,1.0000,5.52,0.1725,1.0000
soccer,france,ligue-2,1.40,144,136,1.3544,0.9444,39.84,0.2767,0.7806
soccer,france,national-2-group-d,1.40,35,29,1.3589,0.8286,4.4,0.1257,0.3503
soccer,france,national,1.20,29,29,1.1541,1.0000,4.47,0.1541,1.0000
soccer,france,national,1.50,218,172,1.4563,0.7890,32.35,0.1484,0.3252
soccer,germany,bundesliga-women,1.40,42,36,1.3600,0.8571,6.93,0.1650,0.4583
soccer,germany,dfb-pokal,1.20,29,28,1.1462,0.9655,3.06,0.1055,0.7217
soccer,germany,dfb-pokal,1.40,26,24,1.3531,0.9231,6.52,0.2508,0.7102
soccer,germany,junioren-bundesliga-north,1.40,57,53,1.3546,0.9298,14.85,0.2605,0.7348
soccer,germany,oberliga-baden-wurttemberg,1.20,39,39,1.1800,1.0000,7.02,0.1800,1.0000
soccer,germany,oberliga-baden-wurttemberg,1.30,66,59,1.2477,0.8939,7.6,0.1152,0.4648
soccer,germany,oberliga-bayern-nord,1.20,25,25,1.1680,1.0000,4.2,0.1680,1.0000
soccer,germany,oberliga-bayern-nord,1.50,20,20,1.4610,1.0000,9.22,0.4610,1.0000
soccer,germany,oberliga-bayern-sud,1.40,41,34,1.3668,0.8293,5.24,0.1278,0.3484
soccer,germany,oberliga-bremen,1.40,43,36,1.3633,0.8372,5.94,0.1381,0.3803
soccer,germany,oberliga-hessen,1.20,24,24,1.1675,1.0000,4.02,0.1675,1.0000
soccer,germany,oberliga-hessen,1.50,95,79,1.4619,0.8316,20.08,0.2114,0.4576
soccer,germany,oberliga-mittelrhein,1.30,40,35,1.2600,0.8750,4.35,0.1088,0.4183
soccer,germany,oberliga-mittelrhein,1.40,40,35,1.3538,0.8750,7.5,0.1875,0.5300
soccer,germany,oberliga-niederrhein,1.20,30,30,1.1573,1.0000,4.72,0.1573,1.0000
soccer,germany,oberliga-niederrhein,1.40,53,47,1.3691,0.8868,11.22,0.2117,0.5736
soccer,germany,oberliga-niedersachsen,1.20,20,20,1.1725,1.0000,3.45,0.1725,1.0000
soccer,germany,oberliga-niedersachsen,1.50,85,65,1.4647,0.7647,9.99999999999999,0.1176,0.2532
soccer,germany,oberliga-nofv-nord,1.30,55,50,1.2636,0.9091,7.99999999999999,0.1455,0.5517
soccer,germany,oberliga-nofv-sud,1.30,62,58,1.2579,0.9355,11.07,0.1785,0.6923
soccer,germany,oberliga-nofv-sud,1.40,57,52,1.3668,0.9123,13.91,0.2440,0.6652
soccer,germany,oberliga-nofv-sud,1.50,63,53,1.4483,0.8413,13.64,0.2165,0.4830
soccer,germany,oberliga-nrw,1.20,24,24,1.1650,1.0000,3.96,0.1650,1.0000
soccer,germany,oberliga-rheinland-pfalz-saar,1.30,25,25,1.2784,1.0000,6.96,0.2784,1.0000
soccer,germany,oberliga-schleswig-holstein,1.30,59,59,1.2542,1.0000,15,0.2542,1.0000
soccer,germany,oberliga-schleswig-holstein,1.50,89,75,1.4579,0.8427,20.17,0.2266,0.4950
soccer,germany,regionalliga-bayern,1.20,29,29,1.1772,1.0000,5.14,0.1772,1.0000
soccer,germany,regionalliga-bayern,1.50,52,45,1.4475,0.8654,13.4,0.2577,0.5758
soccer,germany,regionalliga-sudwest,1.40,49,49,1.3614,1.0000,17.71,0.3614,1.0000
soccer,germany,regionalliga-west,1.50,70,62,1.4523,0.8857,20.06,0.2866,0.6336
soccer,greece,division-c-group-a,1.40,25,21,1.3436,0.8400,3.23,0.1292,0.3760
soccer,greece,football-league-group-1,1.20,32,32,1.1688,1.0000,5.4,0.1688,1.0000
soccer,greece,football-league-group-2,1.20,20,20,1.1800,1.0000,3.6,0.1800,1.0000
soccer,greece,football-league,1.40,126,116,1.3542,0.9206,30.88,0.2451,0.6919
soccer,greece,super-league,1.40,201,171,1.3587,0.8507,30.99,0.1542,0.4299
soccer,guatemala,liga-nacional,1.20,24,24,1.1675,1.0000,4.02,0.1675,1.0000
soccer,guatemala,liga-nacional,1.30,48,42,1.2750,0.8750,5.52,0.1150,0.4182
soccer,hong-kong,premier-league,1.30,20,18,1.2500,0.9000,2.5,0.1250,0.5000
soccer,hong-kong,premier-league,1.50,32,25,1.4678,0.7813,4.65,0.1453,0.3106
soccer,hungary,hungarian-cup,1.20,28,27,1.1671,0.9643,3.48,0.1243,0.7436
soccer,hungary,merkantil-bank-liga,1.40,47,40,1.3657,0.8511,7.91,0.1683,0.4602
soccer,hungary,nb-ii-east,1.20,21,21,1.1562,1.0000,3.28,0.1562,1.0000
soccer,hungary,nb-ii-east,1.40,35,32,1.3669,0.9143,8.85,0.2529,0.6893
soccer,hungary,otp-bank-liga,1.20,81,76,1.1815,0.9383,8.7,0.1074,0.5918
soccer,iceland,division-2,1.20,37,35,1.1651,0.9459,3.87,0.1046,0.6334
soccer,iceland,division-2,1.30,51,46,1.2561,0.9020,6.65,0.1304,0.5092
soccer,iceland,inkasso-deildin,1.30,43,38,1.2637,0.8837,4.89,0.1137,0.4312
soccer,iceland,league-cup,1.20,28,28,1.1721,1.0000,4.82,0.1721,1.0000
soccer,iceland,league-cup,1.50,50,40,1.4572,0.8000,8.26,0.1652,0.3613
soccer,indonesia,liga-1,1.20,60,60,1.1758,1.0000,10.55,0.1758,1.0000
soccer,indonesia,liga-1,1.50,144,126,1.4503,0.8750,38.89,0.2701,0.5998
soccer,indonesia,premier-league,1.40,30,25,1.3607,0.8333,4.14,0.1380,0.3826
soccer,iran,division-1,1.40,38,36,1.3395,0.9474,10.16,0.2674,0.7876
soccer,iran,persian-gulf-pro-league,1.40,108,90,1.3510,0.8333,14.21,0.1316,0.3748
soccer,iraq,super-league,1.20,24,24,1.1708,1.0000,4.1,0.1708,1.0000
soccer,israel,leumit-league,1.30,42,42,1.2629,1.0000,11.04,0.2629,1.0000
soccer,italy,coppa-italia,1.20,43,41,1.1712,0.9535,4.96,0.1153,0.6739
soccer,italy,coppa-italia,1.50,133,102,1.4473,0.7669,14.37,0.1080,0.2416
soccer,italy,lega-pro-c1-a,1.30,53,47,1.2496,0.8868,5.79,0.1092,0.4376
soccer,italy,lega-pro-c1-b,1.20,21,21,1.1533,1.0000,3.22,0.1533,1.0000
soccer,italy,lega-pro-c1-b,1.50,129,99,1.4600,0.7674,15.25,0.1182,0.2570
soccer,italy,lega-pro-c2-b,1.20,23,23,1.1609,1.0000,3.7,0.1609,1.0000
soccer,italy,lega-pro-group-c,1.20,22,22,1.1809,1.0000,3.98,0.1809,1.0000
soccer,italy,lega-pro-group-c,1.30,73,73,1.2473,1.0000,18.05,0.2473,1.0000
soccer,italy,lega-pro-group-c,1.40,32,32,1.3494,1.0000,11.18,0.3494,1.0000
soccer,italy,lega-pro-group-c,1.50,26,26,1.4308,1.0000,11.2,0.4308,1.0000
soccer,italy,serie-a,1.30,291,259,1.2644,0.8900,37.1,0.1275,0.4822
soccer,italy,serie-b,1.20,206,202,1.1656,0.9806,29.4,0.1427,0.8617
soccer,italy,serie-b,1.30,182,169,1.2509,0.9286,29.03,0.1595,0.6358
