Sport,Country,League Name,Margin,Total Records,Records Per Season,Success Records,Avg. Odd,Success Rate,Money Made,Money Per Game,Rate Of Available Money,Number Of Seasons,No Of Positive Seasons,Money Low,Money High,Rate Low,Rate High
handball,europe,whil-women,1.5,77,12.83333333,7.666666667,1.4488,0.4861,-1.675,-0.2914,-0.6815,6,2,-1,0.445,-2.380952381,1
soccer,germany,2-bundesliga,1.5,316,22.57142857,14.5,1.4531,0.4857,-1.506428571,-0.2947,-0.6495,14,6,-1,0.465,-2.380952381,1
american-football,usa,afl,1.5,59,14.75,6.5,1.4478,0.4833,-5.27,-0.2978,-0.6634,4,0,-0.5111111111,-0.126,-1.113801453,-0.2775330396
soccer,argentina,primera-b-metropolitana,1.5,60,12,5.8,1.4648,0.48,-3.47,-0.3044,-0.5994,5,2,-1,0.46,-2.083333333,1
soccer,australia,npl-western-australia,1.5,136,15.11111111,8,1.4556,0.4778,-3.497777778,-0.3058,-0.6531,9,1,-1,0.0825,-2.083333333,0.1896551724
handball,denmark,1-division,1.5,200,28.57142857,14.28571429,1.4553,0.4778,-7.828571429,-0.3059,-0.6647,7,2,-0.714,0.04571428571,-1.552173913,0.09726443769
soccer,turkey,tff-3-lig-group-1,1.4,41,6.833333333,3,1.3736,0.4722,-2.66,-0.3489,-0.9369,6,1,-1,0.36,-2.777777778,1
soccer,japan,j-league-division-2,1.5,204,29.14285714,15.85714286,1.4545,0.4762,-6.117142857,-0.307,-0.6788,7,2,-1,0.4625,-2.272727273,1
soccer,argentina,primera-b-nacional,1.5,149,21.28571429,10,1.448,0.4722,-6.638571429,-0.3095,-0.7394,7,1,-1,0.49,-2.43902439,1
soccer,jordan,premier-league,1.5,75,12.5,7,1.4617,0.4722,-2.31,-0.3122,-0.6782,6,2,-1,0.4566666667,-2.127659574,1
soccer,france,coupe-de-france,1.5,173,13.30769231,7.307692308,1.455,0.4676,-2.72,-0.3203,-0.7052,13,2,-1,0.47,-2.380952381,1
soccer,montenegro,prva-crnogorska-liga,1.4,181,18.1,11.8,1.3598,0.4998,-2.084,-0.3223,-0.8702,10,3,-1,0.13,-2.816901408,0.3644859813
handball,poland,superliga-women,1.4,167,23.85714286,12.28571429,1.357,0.494,-7.142857143,-0.3283,-0.9209,7,1,-0.545,0.01875,-1.572115385,0.05319148936
basketball,georgia,superleague,1.4,58,14.5,6.75,1.3654,0.4926,-5.2875,-0.3291,-0.9057,4,0,-0.47875,-0.095,-1.316151203,-0.2614678899
handball,germany,2-bundesliga,1.5,252,42,22.16666667,1.4719,0.4567,-9.428333333,-0.3299,-0.682,6,0,-1,-0.03666666667,-2,-0.08461538462
hockey,france,ligue-magnus,1.4,148,16.44444444,8.555555556,1.341,0.5,-4.906666667,-0.3339,-0.9395,9,3,-1,0.32,-3.125,1
basketball,world,club-friendly,1.4,139,19.85714286,12,1.3443,0.5,-3.86,-0.3348,-0.9288,7,2,-1,0.31,-3.03030303,1
soccer,asia,afc-champions-league,1.4,69,8.625,5.25,1.3653,0.4875,-1.4775,-0.3356,-0.9118,8,4,-1,0.37,-2.985074627,1
soccer,europe,uefa-youth-league,1.4,59,11.8,6.4,1.37,0.4833,-3.064,-0.3425,-0.9194,5,1,-0.6575,0.14,-1.777027027,0.3818181818
soccer,south-africa,premier-league,1.4,65,10.83333333,5.833333333,1.3618,0.4833,-2.9,-0.344,-0.9068,6,2,-1,0.37,-2.777777778,1
soccer,usa,nasl,1.5,46,7.666666667,3.666666667,1.4679,0.4167,-2.296666667,-0.3892,-0.8011,6,2,-1,0.46,-2.083333333,1
handball,greece,a1,1.5,86,12.28571429,6,1.4621,0.4452,-3.525714286,-0.3478,-0.7672,7,1,-1,0.18,-2.234636872,0.375
soccer,norway,division-2-group-2,1.5,126,15.75,7.75,1.4667,0.4427,-4.4275,-0.3502,-0.7348,8,1,-1,0.45,-2.040816327,1
soccer,saudi-arabia,division-1,1.5,65,13,7,1.4679,0.4383,-2.68,-0.3523,-0.7762,5,0,-1,-0.006666666667,-2.272727273,-0.01418439716
soccer,oman,professional-league,1.5,50,8.333333333,3.833333333,1.4639,0.4306,-2.688333333,-0.3628,-0.8106,6,2,-1,0.49,-2.222222222,1
soccer,spain,segunda-division-b-group-4,1.3,52,8.666666667,4.333333333,1.245,0.5,-3.21,-0.37,-1.685,6,3,-1,0.29,-4.761904762,1
hockey,germany,oberliga-south,1.5,91,18.2,8.8,1.4545,0.4333,-5.416,-0.3724,-0.8243,5,0,-1,-0.03,-2.222222222,-0.06474820144
soccer,england,southern-premier-league,1.4,208,26,12.875,1.3601,0.4563,-8.5225,-0.3803,-1.0359,8,2,-1,0.36,-2.857142857,1
soccer,south-africa,premier-league,1.5,100,12.5,5,1.4586,0.4271,-5.25625,-0.3813,-0.8154,8,2,-1,0.44,-2.290076336,1
soccer,belgium,second-amateur-division-group-vfv-a,1.4,97,16.16666667,7,1.3685,0.4444,-6.56,-0.391,-1.0929,6,1,-1,0.375,-2.857142857,1
hockey,germany,oberliga-north,1.5,73,14.6,7,1.4573,0.4143,-4.358,-0.3932,-0.8641,5,0,-1,-0.12,-2.222222222,-0.2608695652
soccer,africa,africa-cup-of-nations,1.5,58,8.285714286,5,1.4624,0.4143,-0.9842857143,-0.3953,-0.8482,7,2,-1,0.49,-2.173913043,1
soccer,europe,euro-women,1.5,54,18,4.333333333,1.4561,0.4167,-11.73,-0.3958,-0.8706,3,1,-1,0.09,-2.181818182,0.1935483871
basketball,australia,wnbl-women,1.5,101,12.625,5.75,1.4647,0.4077,-4.25875,-0.4034,-0.8611,8,0,-1,-0.03888888889,-2.105263158,-0.0895140665
soccer,belgium,second-amateur-division-group-vfv-b,1.2,68,13.6,10,1.1807,0.5,-1.79,-0.4083,-2.3436,5,2,-1,0.1833333333,-6.666666667,1
soccer,italy,lega-pro-c2-a,1.5,66,13.2,6,1.462,0.4,-4.504,-0.42,-0.8943,5,1,-1,0.46,-2.150537634,1
soccer,el-salvador,primera-division,1.4,60,12,4.4,1.3789,0.4167,-5.904,-0.4207,-1.1416,5,1,-1,0.4,-2.702702703,1
soccer,south-korea,k-league-classic,1.5,67,9.571428571,5,1.4618,0.3878,-2.228571429,-0.4265,-0.9768,7,3,-1,0.5,-2.43902439,1
soccer,mexico,primera-division,1.5,152,15.2,6.3,1.4565,0.3891,-5.987,-0.4354,-0.9447,10,3,-1,0.455,-2.247191011,1
soccer,germany,oberliga-niedersachsen,1.3,55,11,7,1.2643,0.4333,-2.13,-0.45,-1.7931,5,1,-1,0.27,-4.545454545,1
soccer,spain,primera-division-women,1.4,121,20.16666667,9.166666667,1.3572,0.4,-7.716666667,-0.4572,-1.2741,6,0,-1,-0.2271428571,-2.777777778,-0.6411290323
soccer,mexico,copa-mexico,1.5,57,11.4,4.4,1.4484,0.3733,-5.01,-0.4573,-1.0277,5,0,-1,-0.02333333333,-2.325581395,-0.04964539007
soccer,france,national-2-group-b,1.4,53,17.66666667,9.333333333,1.3711,0.3889,-4.92,-0.4644,-1.2003,3,0,-1,-0.09333333333,-2.521008403,-0.2692307692
soccer,luxembourg,national-division,1.5,83,11.85714286,5.571428571,1.4577,0.3667,-3.722857143,-0.465,-1.0212,7,1,-1,0.4575,-2.247191011,1
handball,europe,european-championship,1.5,93,18.6,10.4,1.4474,0.3679,-3.518,-0.4665,-1.0768,5,1,-1,0.03857142857,-2.380952381,0.08256880734
hockey,sweden,hockeyettan-vastra,1.2,70,23.33333333,10.33333333,1.1785,0.45,-11.11333333,-0.4683,-2.773,3,0,-0.715,-0.28,-4.68852459,-1.414141414
basketball,russia,superleague-a-women,1.5,83,13.83333333,6.666666667,1.4582,0.3571,-4.103333333,-0.4808,-1.0509,6,1,-1,0.0825,-2.222222222,0.182320442
soccer,colombia,copa-aguila,1.4,84,10.5,4.25,1.3672,0.3611,-4.7075,-0.5023,-1.3946,8,1,-1,0.39,-2.941176471,1
soccer,sweden,division-1-sodra,1.5,130,14.44444444,6.222222222,1.4526,0.3222,-5.364444444,-0.5304,-1.174,9,1,-1,0.2216666667,-2.298850575,0.4716312057
soccer,world,world-cup-u20,1.4,40,8,4.4,1.3572,0.4933,-2.052,-0.3324,-0.9068,5,1,-1,0.074,-2.739726027,0.2202380952
soccer,spain,segunda-division-b-group-1,1.4,126,18,10.57142857,1.3629,0.3429,-3.571428571,-0.534,-1.452,7,2,-1,0.34,-3.03030303,1
soccer,world,world-cup,1.4,96,32,14.66666667,1.3583,0.3333,-12.01666667,-0.5458,-1.5435,3,1,-1,0.025,-2.777777778,0.06756756757
soccer,germany,oberliga-mittelrhein,1.5,80,16,5,1.447,0.3,-8.71,-0.561,-1.2791,5,0,-1,-0.255,-2.409638554,-0.53125
soccer,germany,regionalliga-nordost,1.5,85,21.25,8.75,1.4456,0.25,-8.5975,-0.6388,-1.4462,4,0,-1,-0.275,-2.380952381,-0.6043956044
baseball,mexico,lmb,1.4,55,18.33333333,7.333333333,1.3856,0.2222,-8.286666667,-0.6956,-1.7668,3,0,-1,-0.08666666667,-2.564102564,-0.2363636364
