Sport,Country,League Name,Margin,Total Records,Success Records,Avg. Odd,Success Rate,Money Made,Money Per Game,Rate Of Available Money,Season
basketball,argentina,liga-a,1.30,676,507,1.2619,0.7500,-36.0900000000001,-0.0534,-0.2039,
basketball,argentina,liga-a,1.40,627,445,1.3580,0.7097,-22.3499999999999,-0.0356,-0.0996,
basketball,argentina,liga-a,1.50,549,384,1.4567,0.6995,10.3699999999999,0.0189,0.0414,
basketball,argentina,super-4,1.10,2,2,1.0750,1.0000,0.15,0.0750,1.0000,
basketball,argentina,super-4,1.20,3,3,1.1700,1.0000,0.51,0.1700,1.0000,
basketball,argentina,super-4,1.30,1,1,1.2800,1.0000,0.28,0.2800,1.0000,
basketball,argentina,super-4,1.40,3,2,1.3733,0.6667,-0.23,-0.0767,-0.2054,
basketball,argentina,super-4,1.50,6,4,1.4667,0.6667,-0.16,-0.0267,-0.0571,
basketball,asia,abl,1.10,94,81,1.0557,0.8617,-8.65,-0.0920,-1.6508,
basketball,asia,abl,1.20,80,77,1.1613,0.9625,9.36,0.1170,0.7256,
basketball,asia,abl,1.30,67,52,1.2522,0.7761,-1.9,-0.0284,-0.1124,
basketball,asia,abl,1.40,50,29,1.3576,0.5800,-10.65,-0.2130,-0.5956,
basketball,asia,abl,1.50,54,30,1.4570,0.5556,-10.27,-0.1902,-0.4161,
basketball,asia,arab-championship,1.10,6,5,1.0533,0.8333,-0.69,-0.1150,-2.1563,
basketball,asia,arab-championship,1.20,2,2,1.1550,1.0000,0.31,0.1550,1.0000,
basketball,asia,arab-championship,1.30,5,4,1.2540,0.8000,0.04,0.0080,0.0315,
basketball,asia,arab-championship,1.40,3,1,1.3533,0.3333,-1.64,-0.5467,-1.5472,
basketball,asia,arab-championship,1.50,2,2,1.4650,1.0000,0.93,0.4650,1.0000,
basketball,asia,asia-challenge,1.10,33,31,1.0448,0.9394,-0.579999999999999,-0.0176,-0.3919,
basketball,asia,asia-challenge,1.20,11,10,1.1509,0.9091,0.5,0.0455,0.3012,
