Sport,Country,League Name,Margin,Total Records,Success Records,Avg. Odd,Success Rate,Money Made,Money Per Game,Rate Of Available Money
soccer,denmark,1st-division,1.50,34,29,1.4603,0.8529,8.45,0.2485,0.5399
soccer,denmark,2nd-division-east,1.40,46,41,1.3493,0.8913,9.37,0.2037,0.5831
soccer,denmark,3f-ligaen-women,1.40,22,20,1.3659,0.9091,5.25,0.2386,0.6522
soccer,denmark,superliga,1.40,20,16,1.3840,0.8000,2.16,0.1080,0.2813
soccer,england,championship,1.50,22,22,1.4700,1.0000,10.34,0.4700,1.0000
soccer,england,fa-cup,1.40,62,58,1.3482,0.9355,16.07,0.2592,0.7443
soccer,england,fa-cup,1.50,67,52,1.4558,0.7761,8.71999999999999,0.1301,0.2855
soccer,england,league-two,1.40,22,22,1.3950,1.0000,8.69,0.3950,1.0000
soccer,england,league-two,1.50,44,33,1.4925,0.7500,5.17,0.1175,0.2386
soccer,england,northern-premier-league,1.50,68,57,1.4559,0.8382,15.49,0.2278,0.4997
soccer,england,southern-premier-league,1.50,59,50,1.4531,0.8475,14.04,0.2380,0.5253
soccer,england,vanarama-national-league-south,1.20,20,20,1.1650,1.0000,3.3,0.1650,1.0000
soccer,england,vanarama-national-league-south,1.50,55,47,1.4565,0.8545,13.51,0.2456,0.5380
soccer,england,vanarama-national-league,1.30,22,22,1.2600,1.0000,5.72,0.2600,1.0000
soccer,estonia,meistriliiga,1.50,70,62,1.4617,0.8857,20.72,0.2960,0.6411
soccer,europe,bene-league-women,1.50,23,21,1.4543,0.9130,7.45,0.3239,0.7129
soccer,europe,champions-league,1.30,20,20,1.2675,1.0000,5.35,0.2675,1.0000
soccer,europe,euro-u17-women,1.40,27,24,1.3574,0.8889,5.6,0.2074,0.5803
soccer,europe,euro-u17,1.30,54,47,1.2676,0.8704,5.81,0.1076,0.4021
soccer,europe,euro-u17,1.40,71,61,1.3593,0.8592,12.01,0.1692,0.4708
soccer,europe,euro-u19-women,1.40,41,35,1.3522,0.8537,6.19,0.1510,0.4287
soccer,europe,euro-u19,1.40,46,41,1.3609,0.8913,9.76,0.2122,0.5880
soccer,europe,euro-u21,1.50,39,34,1.4436,0.8718,10.2,0.2615,0.5896
soccer,faroe-islands,premier-league,1.30,22,20,1.2768,0.9091,3.49,0.1586,0.5731
soccer,france,ligue-2,1.50,24,24,1.4233,1.0000,10.16,0.4233,1.0000
soccer,france,national,1.50,37,30,1.4651,0.8108,7.2,0.1946,0.4184
soccer,fyr-of-macedonia,first-league,1.30,44,44,1.2609,1.0000,11.48,0.2609,1.0000
soccer,georgia,erovnuli-liga,1.40,35,29,1.3720,0.8286,4.62,0.1320,0.3548
soccer,germany,bundesliga-women,1.50,45,39,1.4520,0.8667,11.37,0.2527,0.5590
soccer,germany,bundesliga,1.40,59,52,1.3727,0.8814,12.33,0.2090,0.5607
soccer,germany,junioren-bundesliga-north,1.20,28,28,1.1643,1.0000,4.6,0.1643,1.0000
soccer,germany,junioren-bundesliga-south,1.30,32,32,1.2563,1.0000,8.2,0.2563,1.0000
soccer,germany,junioren-bundesliga-west,1.50,64,49,1.4750,0.7656,8.06,0.1259,0.2651
soccer,germany,oberliga-baden-wurttemberg,1.40,20,20,1.3565,1.0000,7.13,0.3565,1.0000
soccer,germany,oberliga-bremen,1.20,20,20,1.1685,1.0000,3.37,0.1685,1.0000
soccer,germany,oberliga-bremen,1.30,25,23,1.2652,0.9200,4.19,0.1676,0.6320
soccer,germany,oberliga-bremen,1.40,27,23,1.3730,0.8519,4.63,0.1715,0.4598
soccer,germany,oberliga-bremen,1.50,28,21,1.4682,0.7500,2.87,0.1025,0.2189
soccer,germany,oberliga-hamburg,1.30,21,21,1.2600,1.0000,5.46,0.2600,1.0000
soccer,germany,oberliga-hamburg,1.50,32,32,1.4813,1.0000,15.4,0.4813,1.0000
soccer,germany,oberliga-niederrhein,1.40,34,28,1.3671,0.8235,4.32,0.1271,0.3462
soccer,germany,oberliga-niedersachsen,1.20,20,20,1.1700,1.0000,3.4,0.1700,1.0000
soccer,germany,oberliga-niedersachsen,1.40,55,45,1.3673,0.8182,6.45,0.1173,0.3193
