Sport,Country,League Name,Margin,Total Records,Success Records,Avg. Odd,Success Rate,Money Made,Money Per Game,Rate Of Available Money,Season
hockey,sweden,hockeyettan-norra,1.4,79,68,1.3553,0.8608,13.23,0.1675,0.4713,
hockey,sweden,hockeyettan-ostra,1.4,90,84,1.3493,0.9333,23.4,0.26,0.7443,
hockey,sweden,hockeyettan-sodra,1.4,81,68,1.3463,0.8395,10.42,0.1286,0.3715,
hockey,sweden,hockeyettan-sodra,1.5,80,62,1.4644,0.775,10.63,0.1329,0.2861,
hockey,world,friendly-international,1.4,136,113,1.3613,0.8309,17.67,0.1299,0.3596,
soccer,algeria,division-1,1.4,72,67,1.3638,0.9306,19.49,0.2707,0.7442,
soccer,algeria,division-1,1.5,104,92,1.4693,0.8846,31.34,0.3013,0.6421,
soccer,argentina,primera-division,1.4,129,112,1.3673,0.8682,24.44,0.1895,0.5158,
soccer,armenia,premier-league,1.5,69,54,1.4599,0.7826,9.51,0.1378,0.2997,
soccer,asia,afc-cup,1.2,65,62,1.1575,0.9538,6.76,0.104,0.6602,
soccer,asia,afc-cup,1.4,72,62,1.3489,0.8611,11.47,0.1593,0.4566,
soccer,australia,a-league,1.4,69,58,1.3599,0.8406,9.73,0.141,0.3919,
soccer,australia,brisbane-premier-league,1.4,51,42,1.3465,0.8235,5.46,0.1071,0.309,
soccer,australia,npl-victoria,1.3,72,64,1.2558,0.8889,8.54,0.1186,0.4636,
soccer,australia,npl-western-australia,1.2,41,41,1.1651,1,6.77,0.1651,1,
soccer,australia,npl-western-australia,1.4,88,73,1.3722,0.8295,12.35,0.1403,0.3771,
soccer,austria,erste-liga,1.3,84,76,1.2664,0.9048,12.14,0.1445,0.5424,
soccer,austria,erste-liga,1.5,152,120,1.4553,0.7895,22.36,0.1471,0.3231,
soccer,austria,regionalliga-central,1.2,58,58,1.169,1,9.8,0.169,1,
soccer,austria,regionalliga-west,1.2,65,65,1.16,1,10.4,0.16,1,
soccer,austria,regionalliga-west,1.3,115,105,1.2565,0.913,16.75,0.1457,0.5678,
soccer,azerbaijan,premier-league,1.5,101,88,1.4627,0.8713,27.96,0.2768,0.5983,
soccer,bolivia,liga-de-futbol-prof,1.2,64,64,1.1722,1,11.02,0.1722,1,
soccer,brazil,campeonato-gaucho,1.5,43,33,1.4567,0.7674,5.15,0.1198,0.2622,
soccer,brazil,serie-c,1.5,65,55,1.4654,0.8462,15.46,0.2378,0.5111,
soccer,bulgaria,bulgarian-cup,1.3,40,35,1.2635,0.875,4.18,0.1045,0.3966,
soccer,chile,chilean-cup,1.5,74,63,1.4588,0.8514,17.74,0.2397,0.5225,
soccer,china,super-league,1.2,58,58,1.1567,1,9.09,0.1567,1,
soccer,china,super-league,1.5,182,144,1.4552,0.7912,26.85,0.1475,0.3241,
soccer,colombia,torneo-aguila,1.4,111,100,1.3543,0.9009,24.35,0.2194,0.6191,
soccer,czech-republic,division-2,1.2,79,79,1.1577,1,12.46,0.1577,1,
soccer,denmark,1st-division,1.4,174,155,1.3582,0.8908,36.45,0.2095,0.5849,
soccer,denmark,3f-ligaen-women,1.4,54,47,1.3591,0.8704,9.85,0.1824,0.508,
soccer,el-salvador,primera-division,1.5,93,82,1.4674,0.8817,27.57,0.2965,0.6342,
soccer,england,championship,1.3,81,81,1.2649,1,21.46,0.2649,1,
soccer,england,fa-trophy,1.3,58,52,1.2716,0.8966,8.01,0.1381,0.5086,
soccer,england,league-one,1.3,82,71,1.2839,0.8659,8.98,0.1095,0.3857,
soccer,england,league-two,1.5,306,240,1.458,0.7843,43.47,0.1421,0.3101,
soccer,england,southern-premier-league,1.5,206,168,1.4458,0.8155,37.76,0.1833,0.4112,
soccer,england,vanarama-national-league-north,1.3,96,86,1.2727,0.8958,13.18,0.1373,0.5034,
soccer,england,vanarama-national-league-south,1.2,50,50,1.166,1,8.3,0.166,1,
soccer,europe,bene-league-women,1.5,54,45,1.4633,0.8333,11.71,0.2169,0.468,
soccer,europe,euro-u17,1.3,103,91,1.2626,0.8835,12.09,0.1174,0.447,
soccer,europe,euro-u17,1.4,143,118,1.3562,0.8252,17.01,0.119,0.3339,
soccer,europe,euro-u21,1.5,165,135,1.4421,0.8182,29.61,0.1795,0.4059,
soccer,europe,uefa-youth-league,1.2,65,65,1.1603,1,10.42,0.1603,1,
soccer,faroe-islands,premier-league,1.2,69,66,1.1681,0.9565,8.12,0.1177,0.7,
soccer,faroe-islands,premier-league,1.3,113,100,1.2611,0.885,13.14,0.1163,0.4454,
soccer,finland,kakkonen-group-b,1.3,43,43,1.2586,1,11.12,0.2586,1,
soccer,finland,kakkonen-group-b,1.4,55,45,1.3589,0.8182,6.18,0.1124,0.3131,
soccer,finland,kakkonen-south,1.3,51,48,1.2524,0.9412,9.09,0.1782,0.7063,
soccer,finland,kakkonen-west,1.3,48,42,1.2619,0.875,4.89,0.1019,0.389,
soccer,finland,kakkonen-west,1.5,63,54,1.4586,0.8571,15.72,0.2495,0.5441,
soccer,finland,veikkausliiga,1.5,152,117,1.452,0.7697,17.87,0.1176,0.2601,
soccer,finland,ykkonen,1.2,63,60,1.1549,0.9524,6.4,0.1016,0.6557,
soccer,france,division-1-women,1.2,46,44,1.16,0.9565,5,0.1087,0.6793,
soccer,france,ligue-2,1.4,152,144,1.3558,0.9474,42.88,0.2821,0.7929,
soccer,france,national,1.5,255,202,1.4581,0.7922,39.69,0.1556,0.3398,
soccer,germany,junioren-bundesliga-north,1.4,85,69,1.3578,0.8118,8.57,0.1008,0.2818,
soccer,germany,oberliga-baden-wurttemberg,1.2,45,45,1.1827,1,8.22,0.1827,1,
soccer,germany,oberliga-bayern-nord,1.5,41,34,1.469,0.8293,9.08,0.2215,0.4722,
soccer,germany,oberliga-bayern-sud,1.4,54,47,1.3606,0.8704,9.67,0.1791,0.4967,
soccer,germany,oberliga-bremen,1.4,66,55,1.3689,0.8333,9.23,0.1398,0.3791,
soccer,germany,oberliga-hamburg,1.3,66,59,1.2658,0.8939,8.86,0.1342,0.5051,
soccer,germany,oberliga-hamburg,1.5,126,95,1.4715,0.754,13.8,0.1095,0.2323,
soccer,germany,oberliga-mittelrhein,1.4,60,50,1.35,0.8333,7.7,0.1283,0.3667,
soccer,germany,oberliga-niederrhein,1.4,87,75,1.3689,0.8621,15.53,0.1785,0.484,
soccer,germany,oberliga-niedersachsen,1.2,40,40,1.1713,1,6.85,0.1713,1,
soccer,germany,oberliga-niedersachsen,1.5,110,85,1.4645,0.7727,14.4,0.1309,0.2818,
soccer,germany,oberliga-nofv-sud,1.4,92,77,1.3632,0.837,12.86,0.1398,0.3849,
soccer,germany,oberliga-nofv-sud,1.5,88,73,1.4493,0.8295,17.84,0.2027,0.4512,
soccer,germany,oberliga-schleswig-holstein,1.5,177,150,1.4598,0.8475,41.8,0.2362,0.5136,
soccer,germany,regionalliga-north,1.3,161,140,1.2713,0.8696,16.87,0.1048,0.3862,
soccer,germany,regionalliga-south,1.4,68,55,1.3637,0.8088,7.05,0.1037,0.2851,
soccer,germany,regionalliga-sudwest,1.4,84,70,1.3575,0.8333,10.99,0.1308,0.366,
soccer,germany,regionalliga-sudwest,1.5,84,70,1.4492,0.8333,17.15,0.2042,0.4545,
soccer,greece,division-c-group-a,1.3,48,42,1.2577,0.875,5.05,0.1052,0.4082,
soccer,greece,football-league,1.4,185,155,1.3536,0.8378,24.43,0.1321,0.3734,
soccer,greece,super-league,1.3,287,252,1.2562,0.878,29.49,0.1028,0.401,
soccer,greece,super-league,1.4,313,265,1.3512,0.8466,44.96,0.1436,0.409,
soccer,guatemala,liga-nacional,1.3,48,42,1.275,0.875,5.52,0.115,0.4182,
soccer,hungary,merkantil-bank-liga,1.4,47,40,1.3685,0.8511,8.04,0.1711,0.4642,
soccer,hungary,nb-ii-east,1.4,42,39,1.3629,0.9286,11.25,0.2679,0.7382,
soccer,iceland,league-cup,1.2,42,42,1.1724,1,7.24,0.1724,1,
soccer,iceland,league-cup,1.5,83,63,1.4569,0.759,8.46,0.1019,0.2231,
soccer,indonesia,liga-1,1.2,59,59,1.1724,1,10.17,0.1724,1,
soccer,indonesia,liga-1,1.5,153,131,1.449,0.8562,37.11,0.2425,0.5403,
soccer,iran,persian-gulf-pro-league,1.3,48,42,1.2613,0.875,5.04,0.105,0.4019,
soccer,iran,persian-gulf-pro-league,1.4,108,90,1.3515,0.8333,14.21,0.1316,0.3743,
soccer,ireland,division-1,1.4,143,120,1.3478,0.8392,18.47,0.1292,0.3713,
soccer,israel,leumit-league,1.3,42,42,1.2629,1,11.04,0.2629,1,
soccer,italy,coppa-italia,1.2,41,39,1.1698,0.9512,4.56,0.1112,0.6552,
soccer,italy,lega-pro-c2-a,1.4,69,58,1.3735,0.8406,10.66,0.1545,0.4137,
soccer,italy,lega-pro-group-b,1.5,64,49,1.4584,0.7656,7.61,0.1189,0.2594,
soccer,italy,lega-pro-group-c,1.3,88,80,1.2536,0.9091,12.08,0.1373,0.5412,
soccer,italy,lega-pro-group-c,1.5,41,34,1.4546,0.8293,8.21,0.2002,0.4405,
soccer,italy,serie-a,1.3,366,331,1.2619,0.9044,52.26,0.1428,0.5452,
soccer,italy,serie-b,1.2,276,272,1.1628,0.9855,40.2,0.1457,0.8949,
soccer,italy,serie-c2-c,1.5,41,33,1.4537,0.8049,7.04,0.1717,0.3785,
soccer,japan,j-league,1.3,88,88,1.2638,1,23.21,0.2638,1,
soccer,kazakhstan,premier-league,1.4,139,119,1.3534,0.8561,22.2,0.1597,0.452,
soccer,kuwait,premier-league,1.3,98,90,1.2523,0.9184,14.59,0.1489,0.59,
soccer,luxembourg,national-division,1.3,72,64,1.2611,0.8889,8.52,0.1183,0.4532,
soccer,netherlands,eerste-divisie,1.2,74,71,1.1759,0.9595,9.42,0.1273,0.7235,
soccer,new-zealand,football-championship,1.4,98,84,1.3598,0.8571,16.18,0.1651,0.4589,
soccer,nigeria,premier-league,1.4,118,102,1.3522,0.8644,19.72,0.1671,0.4745,
soccer,north-central-america,concacaf-champions-league,1.2,86,82,1.1579,0.9535,8.92,0.1037,0.6568,
soccer,northern-ireland,nifl-premiership,1.4,156,131,1.3691,0.8397,23.43,0.1502,0.4069,
soccer,norway,division-2-group-4,1.4,126,106,1.3537,0.8413,17.49,0.1388,0.3924,
soccer,paraguay,primera-division,1.3,107,95,1.2623,0.8879,12.92,0.1207,0.4603,
soccer,peru,primera-division,1.3,140,122,1.2668,0.8714,14.46,0.1033,0.3871,
soccer,peru,segunda-division,1.4,44,36,1.3589,0.8182,5.1,0.1159,0.323,
soccer,poland,division-2-east,1.4,66,53,1.3721,0.803,6.83,0.1035,0.2781,
soccer,poland,ekstraklasa,1.2,61,58,1.1752,0.9508,7.09,0.1162,0.6632,
soccer,poland,ekstraklasa,1.3,127,119,1.2548,0.937,21.96,0.1729,0.6786,
soccer,poland,mloda-ekstraklasa-u21,1.4,50,45,1.335,0.9,10,0.2,0.597,
soccer,poland,mloda-ekstraklasa-u21,1.5,87,66,1.4546,0.7586,9,0.1034,0.2276,
soccer,portugal,primeira-liga,1.4,206,179,1.3607,0.8689,37.79,0.1834,0.5085,
soccer,portugal,segunda-liga,1.2,54,54,1.173,1,9.34,0.173,1,
soccer,romania,liga-1,1.5,324,255,1.4579,0.787,46.73,0.1442,0.315,
soccer,romania,liga-2-serie-2,1.2,104,101,1.1669,0.9712,13.97,0.1343,0.8047,
soccer,romania,romanian-cup,1.3,50,45,1.2658,0.9,6.89,0.1378,0.5184,
soccer,russia,division-2-ural-povolzhye,1.3,81,77,1.2657,0.9506,16.4,0.2025,0.7621,
soccer,russia,division-2-west,1.5,136,106,1.4647,0.7794,18.76,0.1379,0.2968,
soccer,saudi-arabia,saudi-professional-league,1.3,52,48,1.2608,0.9231,8.48,0.1631,0.6254,
soccer,scotland,betfred-cup,1.5,62,48,1.4563,0.7742,7.85,0.1266,0.2775,
soccer,scotland,league-two,1.5,132,102,1.45,0.7727,16.18,0.1226,0.2724,
soccer,south-korea,k-league-classic,1.4,78,63,1.3665,0.8077,7.89,0.1012,0.276,
soccer,spain,laliga2,1.3,207,189,1.2579,0.913,31.23,0.1509,0.5849,
soccer,sweden,allsvenskan-women,1.4,117,100,1.3518,0.8547,17.9,0.153,0.4349,
soccer,sweden,division-1-sodra,1.4,122,108,1.3448,0.8852,23.12,0.1895,0.5497,
soccer,sweden,division-2-norra-gotaland,1.5,91,69,1.4542,0.7582,9.5,0.1044,0.2299,
soccer,sweden,division-2-norra-svealand,1.5,110,89,1.4548,0.8091,19.69,0.179,0.3936,
soccer,thailand,thai-premier-league,1.3,176,155,1.259,0.8807,18.83,0.107,0.4131,
soccer,tunisia,ligue-professionnelle-1,1.4,77,64,1.3696,0.8312,10.53,0.1368,0.37,
soccer,tunisia,ligue-professionnelle-1,1.5,142,112,1.4589,0.7887,21.76,0.1532,0.3339,
soccer,turkey,super-lig,1.5,295,231,1.4551,0.7831,40.77,0.1382,0.3037,
soccer,turkey,tff-1-lig,1.3,171,157,1.2547,0.9181,25.85,0.1512,0.5934,
soccer,ukraine,persha-liga,1.5,123,97,1.4581,0.7886,18.22,0.1481,0.3233,
soccer,united-arab-emirates,uae-league,1.3,85,81,1.2518,0.9529,16.32,0.192,0.7626,
soccer,usa,us-open-cup,1.5,46,35,1.4589,0.7609,4.93,0.1072,0.2335,
soccer,uzbekistan,professional-football-league,1.2,109,106,1.1528,0.9725,13.29,0.1219,0.7982,
soccer,uzbekistan,professional-football-league,1.4,93,76,1.3596,0.8172,10.3,0.1108,0.308,
soccer,uzbekistan,professional-football-league,1.5,63,48,1.4532,0.7619,6.79,0.1078,0.2378,
soccer,venezuela,primera-division,1.3,79,69,1.271,0.8734,8.76,0.1109,0.4092,
soccer,venezuela,primera-division,1.4,148,122,1.3649,0.8243,18.95,0.128,0.3509,
soccer,world,club-friendly,1.2,99,99,1.1633,1,16.17,0.1633,1,
soccer,world,world-cup,1.2,73,73,1.1505,1,10.99,0.1505,1,
soccer,world,world-cup,1.5,123,123,1.4477,1,55.07,0.4477,1,
soccer,yemen,division-1,1.4,50,42,1.3484,0.84,6.7,0.134,0.3846,
