Sport,Country,League Name,Margin,Total Records,Records Per Season,Success Records,Avg. Odd,Success Rate,Money Made,Money Per Game,Rate Of Available Money,Number Of Seasons,No Of Positive Seasons,Money Low,Money High,Rate Low,Rate High
soccer,finland,kakkonen-south,1.3,51,12.75,12,1.2546,0.9583,2.2725,0.2021,0.8019,4,4,0.055,0.26,0.2075471698,1
basketball,europe,european-championship-u18-b-women,1.4,70,10,8.571428571,1.3503,0.883,1.534285714,0.1914,0.5428,7,7,0.1,0.36,0.2717391304,1
soccer,south-korea,k-league-classic,1.4,78,15.6,12.6,1.3704,0.86,1.578,0.1769,0.4686,5,5,0.015,0.38,0.04137931034,1
soccer,indonesia,liga-1,1.2,59,8.428571429,8.428571429,1.176,1,1.452857143,0.176,1,7,7,0.145,0.2,1,1
soccer,bolivia,liga-de-futbol-prof,1.2,64,12.8,12.8,1.1757,1,2.204,0.1757,1,5,5,0.1533333333,0.2,1,1
soccer,austria,regionalliga-central,1.2,58,7.25,7.25,1.1715,1,1.225,0.1715,1,8,8,0.12,0.2,1,1
hockey,france,ligue-magnus,1.2,71,14.2,14.2,1.1688,1,2.226,0.1688,1,5,5,0.1366666667,0.19,1,1
soccer,portugal,segunda-liga,1.2,54,10.8,10.8,1.168,1,1.868,0.168,1,5,5,0.11,0.2,1,1
soccer,england,vanarama-national-league-south,1.2,50,50,50,1.166,1,8.3,0.166,1,1,1,0.166,0.166,1,1
soccer,world,club-friendly,1.2,99,19.8,19.8,1.162,1,3.234,0.162,1,5,5,0.145,0.185,1,1
soccer,europe,uefa-youth-league,1.2,65,13,13,1.1613,1,2.084,0.1613,1,5,5,0.148,0.18,1,1
hockey,finland,mestis,1.2,64,12.8,12.8,1.1597,1,2.016,0.1597,1,5,5,0.14,0.2,1,1
soccer,austria,regionalliga-west,1.2,65,9.285714286,9.285714286,1.159,1,1.485714286,0.159,1,7,7,0.13,0.1833333333,1,1
soccer,czech-republic,division-2,1.2,79,11.28571429,11.28571429,1.1538,1,1.78,0.1538,1,7,7,0.14,0.175,1,1
soccer,china,super-league,1.2,58,11.6,11.6,1.1485,1,1.818,0.1485,1,5,5,0.11,0.175,1,1
soccer,world,world-cup,1.2,73,24.33333333,24.33333333,1.1407,1,3.663333333,0.1407,1,3,3,0.11,0.162,1,1
hockey,sweden,hockeyettan-ostra,1.3,72,24,20,1.2876,0.8778,1.84,0.1358,0.4592,3,3,0.024,0.3,0.08695652174,1
basketball,south-korea,wkbl-women,1.2,57,11.4,10.8,1.1636,0.9714,1.194,0.1302,0.8017,5,5,0.001428571429,0.176,0.008474576271,1
soccer,uzbekistan,professional-football-league,1.2,109,18.16666667,17.66666667,1.1497,0.9815,2.215,0.129,0.8564,6,6,0.02,0.1633333333,0.1384615385,1
basketball,slovakia,extraliga,1.2,203,25.375,24.25,1.1566,0.9688,2.6825,0.1208,0.7746,8,8,0.015,0.175,0.09302325581,1
basketball,asia,abl,1.2,80,16,15.4,1.1611,0.9633,1.872,0.1178,0.7284,5,5,0.04,0.16875,0.253164557,1
basketball,europe,fiba-europe-cup,1.1,49,24.5,24.5,1.0573,1,1.4,0.0573,1,2,2,0.052,0.0625,1,1
basketball,fyr-of-macedonia,superleague,1.2,40,8,7.4,1.1636,0.9464,0.568,0.1004,0.6223,5,5,0.007142857143,0.18,0.0406504065,1
soccer,england,fa-cup,1.1,84,12,12,1.084,1,1.012857143,0.084,1,7,7,0.075,0.1,1,1
basketball,france,pro-b,1.1,118,14.75,14.75,1.0808,1,1.14375,0.0808,1,8,8,0.06166666667,0.1,1,1
soccer,netherlands,eredivisie,1.1,62,7.75,7.75,1.0806,1,0.6175,0.0806,1,8,8,0.05,0.1,1,1
basketball,australia,nbl,1.1,54,9,9,1.0805,1,0.765,0.0805,1,6,6,0.06,0.1,1,1
hockey,poland,polish-hockey-league,1.1,154,17.11111111,17.11111111,1.0786,1,0.9911111111,0.0786,1,9,9,0.02615384615,0.1,1,1
soccer,italy,serie-a,1.1,54,10.8,10.8,1.0777,1,0.858,0.0777,1,5,5,0.06,0.1,1,1
soccer,italy,serie-b,1.1,129,25.8,25.8,1.0756,1,1.802,0.0756,1,5,5,0.05333333333,0.09666666667,1,1
soccer,ukraine,premier-league,1.1,103,11.44444444,11.44444444,1.0734,1,0.83,0.0734,1,9,9,0.04,0.095,1,1
basketball,japan,b-league,1.4,44,44,33,1.3425,0.75,0.33,0.0075,0.0219,1,1,0.0075,0.0075,0.02189781022,0.02189781022
soccer,world,club-friendly,1.1,55,18.33333333,18.33333333,1.0733,1,1.246666667,0.0733,1,3,3,0.055,0.1,1,1
soccer,portugal,primeira-liga,1.1,61,8.714285714,8.714285714,1.0719,1,0.5885714286,0.0719,1,7,7,0.01,0.1,1,1
hockey,finland,suomi-sarja,1.4,60,30,24,1.3542,0.7917,2.34,0.0688,0.1963,2,2,0.0225,0.115,0.0625,0.3301435407
soccer,greece,football-league-group-1,1.3,62,31,26.5,1.2471,0.8542,2.05,0.0652,0.2615,2,2,0.03666666667,0.09375,0.1517241379,0.3712871287
hockey,austria,alps-hockey-league,1.1,70,17.5,17.5,1.0649,1,0.985,0.0649,1,4,4,0.035,0.1,1,1
basketball,philippines,fiesta-conference,1.5,40,40,32,1.4535,0.8,6.48,0.162,0.3572,1,1,0.162,0.162,0.3572216097,0.3572216097
handball,turkey,superlig,1.1,84,21,21,1.0595,1,1.1125,0.0595,1,4,4,0.03888888889,0.09666666667,1,1
basketball,turkey,tbl,1.1,122,40.66666667,40.66666667,1.0518,1,1.84,0.0518,1,3,3,0.03818181818,0.06,1,1
soccer,spain,primera-division-women,1.1,251,41.83333333,41.83333333,1.0457,1,1.846666667,0.0457,1,6,6,0.035,0.06,1,1
basketball,europe,fiba-europe-cup,1.4,100,50,39,1.3466,0.775,2.685,0.0454,0.1274,2,2,0.00375,0.087,0.01115241636,0.243697479
handball,europe,cup-winners-cup-women,1.1,56,9.333333333,9.333333333,1.0438,1,0.3266666667,0.0438,1,6,6,0.02846153846,0.06,1,1
basketball,spain,leb-plata,1.4,42,21,16.5,1.3523,0.775,1.44,0.0495,0.1371,2,2,0.005,0.094,0.01459854015,0.2596685083
handball,russia,superleague,1.1,140,23.33333333,23.33333333,1.0427,1,1.001666667,0.0427,1,6,6,0.0275,0.055,1,1
basketball,japan,b-league,1.3,132,132,110,1.2558,0.8333,5.5,0.0417,0.1629,1,1,0.04166666667,0.04166666667,0.1628664495,0.1628664495
basketball,cyprus,division-a,1.1,126,25.2,25.2,1.0413,1,1.016,0.0413,1,5,5,0.02529411765,0.06083333333,1,1
basketball,austria,zweite-liga,1.1,71,35.5,35.5,1.0321,1,1.2,0.0321,1,2,2,0.03,0.03428571429,1,1
handball,europe,european-championship-u19-women,1.4,42,14,12.66666667,1.3489,0.9028,3.073333333,0.216,0.6163,3,3,0.1116666667,0.35,0.3316831683,1
hockey,kazakhstan,championship,1.2,47,15.66666667,15.66666667,1.1692,1,2.43,0.1692,1,3,3,0.1375,0.2,1,1
hockey,sweden,allettan-norra,1.1,44,8.8,8.8,1.069,1,0.644,0.069,1,5,5,0.03,0.1,1,1
hockey,sweden,division-1-norra,1.3,42,42,42,1.2614,1,10.98,0.2614,1,1,1,0.2614285714,0.2614285714,1,1
hockey,sweden,hockeyettan-norra,1.1,47,15.66666667,15.66666667,1.0433,1,0.7166666667,0.0433,1,3,3,0.03,0.05,1,1
hockey,sweden,hockeyettan-ostra,1.1,48,24,24,1.0375,1,0.99,0.0375,1,2,2,0.03,0.045,1,1
soccer,australia,npl-western-australia,1.2,41,5.857142857,5.857142857,1.1625,1,0.9671428571,0.1625,1,7,7,0.14,0.1775,1,1
soccer,cyprus,first-division,1.1,47,7.833333333,7.833333333,1.08,1,0.5816666667,0.08,1,6,6,0.06,0.1,1,1
soccer,finland,kakkonen-group-b,1.3,43,14.33333333,14.33333333,1.2617,1,3.706666667,0.2617,1,3,3,0.254,0.275,1,1
soccer,germany,oberliga-baden-wurttemberg,1.2,45,9,9,1.183,1,1.644,0.183,1,5,5,0.17,0.2,1,1
soccer,germany,oberliga-bayern-nord,1.5,41,20.5,17,1.457,0.9,4.54,0.312,0.6941,2,2,0.184,0.44,0.388185654,1
soccer,germany,oberliga-niedersachsen,1.2,40,8,8,1.162,1,1.37,0.162,1,5,5,0.13,0.19,1,1
soccer,greece,division-c-group-a,1.3,48,16,14,1.2598,0.9074,1.683333333,0.1469,0.5586,3,3,0.04333333333,0.2616666667,0.1756756757,1
soccer,hungary,merkantil-bank-liga,1.4,47,11.75,10,1.3651,0.8375,2.01,0.1495,0.3882,4,4,0.01,0.4,0.02919708029,1
soccer,iceland,league-cup,1.2,42,7,7,1.175,1,1.206666667,0.175,1,6,6,0.16,0.2,1,1
soccer,israel,leumit-league,1.3,42,8.4,8.4,1.2653,1,2.208,0.2653,1,5,5,0.23,0.3,1,1
soccer,norway,division-2-group-1,1.1,40,6.666666667,6.666666667,1.0722,1,0.4333333333,0.0722,1,6,6,0.035,0.1,1,1
soccer,romania,liga-2,1.3,42,42,36,1.2586,0.8571,3.06,0.0729,0.2818,1,1,0.07285714286,0.07285714286,0.2817679558,0.2817679558
soccer,serbia-and-montenegro,prva-liga,1.1,44,44,44,1.0818,1,3.6,0.0818,1,1,1,0.08181818182,0.08181818182,1,1
soccer,ukraine,persha-liga,1.1,42,10.5,10.5,1.09,1,0.8125,0.09,1,4,4,0.07,0.1,1,1
soccer,world,world-cup-women,1.1,45,15,15,1.0363,1,0.3566666667,0.0363,1,3,3,0.01833333333,0.048,1,1
