LeagueId,NoData,Bet,Score,AvgOdd
2985,21,2,0.7142857142857143,1.348095238095238
2688,43,1,0.5813953488372093,1.4218604651162787
2688,1,2,1.0,1.41
2550,23,1,0.6521739130434783,1.3034782608695652
2550,24,2,0.7083333333333334,1.3783333333333332
3697,4,1,0.25,1.335
3697,4,2,1.0,1.4
3766,2,1,1.0,1.31
3766,2,2,1.0,1.35
2108,8,2,0.875,1.37375
3247,2,1,0.5,1.47
3247,1,2,0.0,1.32
3031,632,1,0.7215189873417721,1.3625316455696204
3031,308,2,0.762987012987013,1.3674675324675325
2565,41,1,0.7804878048780488,1.3648780487804877
2565,31,2,0.8064516129032258,1.3674193548387097
3145,24,1,0.6666666666666666,1.3541666666666667
3145,9,2,0.4444444444444444,1.3677777777777775
2560,13,1,0.7692307692307693,1.3184615384615386
2560,8,2,0.5,1.3975
3043,23,1,0.9130434782608695,1.3430434782608693
3043,20,2,0.7,1.3935
3013,52,1,0.7307692307692307,1.3682692307692308
3013,13,2,0.46153846153846156,1.4023076923076923
2922,66,1,0.803030303030303,1.3692424242424246
2922,17,2,0.6470588235294118,1.3588235294117648
2668,29,1,0.6551724137931034,1.3737931034482758
2668,7,2,1.0,1.4057142857142857
3198,91,1,0.7252747252747253,1.375054945054945
3198,40,2,0.725,1.372
2247,4,1,1.0,1.2925
2247,4,2,0.5,1.395
3317,12,1,0.6666666666666666,1.3575000000000002
3317,1,2,1.0,1.3
2365,13,1,0.7692307692307693,1.3692307692307693
2365,1,2,0.0,1.3
2955,53,1,0.7547169811320755,1.360188679245283
2955,31,2,0.7096774193548387,1.3616129032258064
3023,30,1,0.7333333333333333,1.3756666666666666
3023,23,2,0.7391304347826086,1.3773913043478263
3460,374,1,0.6711229946524064,1.4250534759358289
3460,41,2,0.6341463414634146,1.4482926829268292
3341,163,1,0.6441717791411042,1.3859509202453988
3341,21,2,0.7142857142857143,1.4314285714285713
2082,2,1,0.5,1.275
2082,17,2,0.7647058823529411,1.3370588235294119
2166,104,1,0.6538461538461539,1.3510576923076922
2166,34,2,0.7058823529411765,1.3747058823529412
2982,50,1,0.74,1.3897999999999997
2982,2,2,1.0,1.335
2715,54,1,0.7407407407407407,1.3874074074074074
2715,3,2,1.0,1.39
3151,27,1,0.7407407407407407,1.3455555555555558
3151,14,2,0.6428571428571429,1.3757142857142857
2164,14,1,0.7142857142857143,1.3385714285714287
2164,10,2,0.7,1.338
3225,18,1,0.7777777777777778,1.3716666666666666
3225,8,2,0.5,1.37
3343,132,1,0.7045454545454546,1.3695454545454546
3343,46,2,0.6739130434782609,1.3747826086956518
3627,5,1,0.6,1.4
3627,3,2,1.0,1.343333333333333
3732,57,1,0.6666666666666666,1.3622807017543859
3732,24,2,0.625,1.3858333333333333
3056,65,1,0.676923076923077,1.359846153846154
3056,59,2,0.6779661016949152,1.365084745762712
2678,9,1,0.7777777777777778,1.3677777777777778
2678,3,2,1.0,1.42
3738,61,1,0.7868852459016393,1.3557377049180326
3738,25,2,0.8,1.3707999999999998
2023,25,1,0.88,1.294
2023,5,2,0.8,1.4
3030,99,1,0.7171717171717171,1.384242424242424
3030,23,2,0.43478260869565216,1.3856521739130434
3249,81,1,0.7283950617283951,1.3546913580246913
3249,24,2,0.7916666666666666,1.3770833333333332
2916,15,1,0.5333333333333333,1.3539999999999999
2916,8,2,0.75,1.3537500000000002
3796,37,1,0.7567567567567568,1.3635135135135137
3796,24,2,0.5833333333333334,1.3579166666666669
2986,27,1,0.5925925925925926,1.3622222222222222
2986,11,2,0.6363636363636364,1.34
3347,128,1,0.7890625,1.3790625
3347,21,2,0.7142857142857143,1.3947619047619046
2613,72,1,0.7638888888888888,1.3793055555555556
2613,30,2,0.7666666666666667,1.3470000000000004
2589,17,1,0.5882352941176471,1.3894117647058823
2589,1,2,1.0,1.47
2635,13,1,0.6923076923076923,1.2869230769230766
2635,9,2,0.5555555555555556,1.372222222222222
3147,102,1,0.7156862745098039,1.3661764705882353
3147,71,2,0.647887323943662,1.3590140845070422
3718,31,1,0.7741935483870968,1.336774193548387
3718,28,2,0.6785714285714286,1.3375
3704,6,1,0.5,1.3783333333333332
3704,5,2,0.4,1.394
3742,37,1,0.7027027027027027,1.368918918918919
3742,20,2,0.5,1.3764999999999998
2457,2,1,0.5,1.275
2457,1,2,1.0,1.32
2993,59,1,0.7457627118644068,1.3645762711864404
2993,21,2,0.6666666666666666,1.3638095238095238
2908,87,1,0.7011494252873564,1.3533333333333333
2908,34,2,0.5882352941176471,1.3705882352941177
3325,32,1,0.8125,1.36125
3325,12,2,0.5833333333333334,1.3591666666666669
3825,37,1,0.7837837837837838,1.3713513513513513
3825,25,2,0.8,1.374
2612,3,1,0.6666666666666666,1.3566666666666667
2612,2,2,0.5,1.3450000000000002
3613,17,1,0.6470588235294118,1.3611764705882354
3613,14,2,0.6428571428571429,1.3949999999999998
3786,21,1,0.7142857142857143,1.3447619047619046
3786,11,2,0.6363636363636364,1.4009090909090909
3336,49,1,0.8163265306122449,1.3573469387755104
3336,31,2,0.7741935483870968,1.3635483870967742
2837,50,1,0.74,1.3695999999999997
2837,28,2,0.7857142857142857,1.370714285714286
3866,22,1,0.7272727272727273,1.399090909090909
3866,3,2,1.0,1.3633333333333333
3315,82,1,0.7317073170731707,1.3990243902439023
3315,1,2,1.0,1.38
3176,28,1,0.6071428571428571,1.3457142857142856
3176,15,2,0.8,1.3353333333333333
2936,143,1,0.7132867132867133,1.364825174825175
2936,20,2,0.7,1.3435
2840,67,1,0.6268656716417911,1.3691044776119403
2840,33,2,0.7575757575757576,1.3842424242424243
3207,17,1,0.6470588235294118,1.3170588235294118
3207,14,2,0.7142857142857143,1.3057142857142858
3041,50,1,0.62,1.3614
3041,39,2,0.6666666666666666,1.376923076923077
3522,18,1,0.7222222222222222,1.3522222222222222
2933,60,1,0.7,1.3765
2933,22,2,0.7727272727272727,1.383181818181818
3599,6,1,0.8333333333333334,1.335
3599,5,2,0.8,1.422
3870,5,1,0.6,1.3880000000000001
3870,3,2,0.6666666666666666,1.36
3162,18,1,0.6111111111111112,1.3505555555555555
3162,9,2,0.5555555555555556,1.4033333333333333
2354,1,0,1.0,1.45
2354,3,1,0.6666666666666666,1.3466666666666667
3733,67,1,0.746268656716418,1.365671641791045
3733,37,2,0.7027027027027027,1.3829729729729727
